dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.031969,0.993003,0.037500,0.375000,1.875000,9.375000,0.002872
0.200000,0.141130,0.993867,0.146664,0.545822,0.854111,-5.104447,0.012979
0.200000,0.322968,0.997772,0.328544,0.909399,1.817883,4.818860,0.030003
0.200000,0.577252,1.008475,0.583053,1.272545,1.815732,-0.010754,0.054200
0.200000,0.867282,1.028293,0.873760,1.453532,0.904936,-4.553982,0.082333
0.200000,1.156482,1.056315,1.164313,1.452769,-0.003817,-4.543762,0.110928
0.200000,1.444622,1.092637,1.454734,1.452103,-0.003327,0.002451,0.139925
0.200000,1.731470,1.137330,1.745043,1.451546,-0.002786,0.002706,0.169259
0.200000,2.016790,1.190442,2.035264,1.451106,-0.002204,0.002909,0.198860
0.200000,2.300345,1.251990,2.325422,1.450789,-0.001584,0.003097,0.228653
0.200000,2.581900,1.321966,2.615542,1.450601,-0.000939,0.003227,0.258559
0.200000,2.861224,1.400333,2.905651,1.450545,-0.000278,0.003303,0.288498
0.200000,3.138093,1.487027,3.195776,1.450623,0.000387,0.003328,0.318391
0.200000,3.412292,1.581956,3.485942,1.450832,0.001047,0.003298,0.348158
0.200000,3.683617,1.685002,3.776176,1.451170,0.001687,0.003202,0.377720
0.200000,3.951878,1.796021,4.066502,1.451630,0.002303,0.003077,0.407003
0.200000,4.216898,1.914850,4.356943,1.452206,0.002878,0.002876,0.435939
0.200000,4.478517,2.041304,4.647521,1.452888,0.003409,0.002658,0.464462
0.200000,4.736593,2.175179,4.938254,1.453666,0.003894,0.002423,0.492514
0.200000,5.037363,2.325839,5.274648,1.681968,1.141508,5.688068,0.373391
0.200000,5.379700,2.423976,5.630774,1.780631,0.493317,-3.240952,0.201982
0.200000,5.698673,2.475572,5.953893,1.615596,-0.825175,-6.592459,0.131719
0.200000,5.994201,2.513811,6.251885,1.489958,-0.628191,0.984918,0.137801
0.200000,6.262155,2.560365,6.523852,1.359837,-0.650609,-0.112088,0.222503
0.200000,6.487466,2.631305,6.760067,1.181074,-0.893810,-1.216009,0.414702
0.200000,6.649690,2.733432,6.951761,0.958471,-1.113018,-1.096039,0.740304
0.200000,6.755827,2.875989,7.129490,0.888644,-0.349135,3.819416,1.107700
0.200000,6.817297,3.058892,7.322447,0.964784,0.380703,3.649189,1.360804
0.200000,6.841008,3.229418,7.494613,0.860832,-0.519762,-4.502323,1.494725
0.200000,6.846004,3.349042,7.614341,0.598638,-1.310969,-3.956039,1.560598
0.200000,6.845814,3.406788,7.672088,0.288734,-1.549519,-1.192749,1.587085
0.200000,6.845573,3.419483,7.684785,0.063484,-1.126251,2.116341,1.592532
0.200000,6.845573,3.419483,7.684785,0.000000,-0.317421,4.044151,1.592532
