dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.032917,0.663004,0.037500,0.375000,1.875000,9.375000,0.002872
0.200000,0.145413,0.663895,0.150000,0.750000,1.875000,0.000000,0.012979
0.200000,0.332868,0.667921,0.337500,1.125000,1.875000,0.000000,0.030003
0.200000,0.595129,0.678960,0.600000,1.500000,1.875000,0.000000,0.054200
0.200000,0.894421,0.699411,0.900000,1.500000,0.000000,-9.375000,0.082333
0.200000,1.193013,0.728343,1.200000,1.500000,0.000000,0.000000,0.110928
0.200000,1.490647,0.765862,1.500000,1.500000,0.000000,0.000000,0.139925
0.200000,1.787060,0.812046,1.800000,1.500000,0.000000,0.000000,0.169259
0.200000,2.081982,0.866945,2.100000,1.500000,0.000000,0.000000,0.198860
0.200000,2.375145,0.930579,2.400000,1.500000,0.000000,0.000000,0.228653
0.200000,2.666277,1.002935,2.700000,1.500000,0.000000,0.000000,0.258559
0.200000,2.955113,1.083972,3.000000,1.500000,0.000000,0.000000,0.288498
0.200000,3.241395,1.173613,3.300000,1.500000,0.000000,0.000000,0.318391
0.200000,3.524876,1.271755,3.600000,1.500000,0.000000,0.000000,0.348158
0.200000,3.805321,1.378264,3.900000,1.500000,0.000000,0.000000,0.377720
0.200000,4.082511,1.492978,4.200000,1.500000,0.000000,0.000000,0.407003
0.200000,4.356244,1.615714,4.500000,1.500000,0.000000,0.000000,0.435939
0.200000,4.626338,1.746263,4.800000,1.500000,0.000000,0.000000,0.464462
0.200000,4.892631,1.884401,5.100000,1.500000,0.000000,0.000000,0.492514
0.200000,5.157738,2.018578,5.400000,1.500000,0.000000,0.000000,0.373391
0.200000,5.445902,2.100685,5.700000,1.500000,0.000000,0.000000,0.201982
0.200000,5.742015,2.148431,6.000000,1.500000,0.000000,0.000000,0.131719
0.200000,6.039532,2.186939,6.300000,1.500000,0.000000,0.000000,0.137801
0.200000,6.334976,2.238501,6.600000,1.500000,0.000000,0.000000,0.222503
0.200000,6.620428,2.329277,6.900000,1.500000,0.000000,0.000000,0.414702
0.200000,6.872279,2.489805,7.200000,1.500000,0.000000,0.000000,0.740304
0.200000,7.051070,2.728571,7.500000,1.500000,0.000000,0.000000,1.107700
0.200000,7.140048,2.990103,7.776994,1.269941,-1.150295,-5.751473,1.360804
0.200000,7.170053,3.204339,7.993482,0.894941,-1.875000,-3.623527,1.494725
0.200000,7.175987,3.345676,8.134971,0.519941,-1.875000,0.000000,1.560598
0.200000,7.175770,3.412163,8.201459,0.144941,-1.875000,0.000000,1.587085
0.200000,7.175495,3.426655,8.215953,0.000000,-0.724705,5.751473,1.592532
0.200000,7.175495,3.426655,8.215953,0.000000,0.000000,3.623527,1.592532
