dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.033865,0.333006,0.037500,0.375000,1.875000,9.375000,0.002872
0.200000,0.149696,0.333923,0.153335,0.579173,1.020866,-4.270670,0.012979
0.200000,0.342767,0.338069,0.346450,0.965579,1.932029,4.555816,0.030003
0.200000,0.613006,0.349445,0.616929,1.352391,1.934059,0.010149,0.054200
0.200000,0.921561,0.370529,0.926202,1.546369,0.969890,-4.820845,0.082333
0.200000,1.229544,0.400372,1.235628,1.547129,0.003800,-4.830452,0.110928
0.200000,1.536671,0.439087,1.545186,1.547791,0.003312,-0.002440,0.139925
0.200000,1.842649,0.486762,1.854856,1.548346,0.002775,-0.002681,0.169259
0.200000,2.147175,0.543449,2.164613,1.548785,0.002193,-0.002913,0.198860
0.200000,2.449944,0.609168,2.474433,1.549100,0.001577,-0.003078,0.228653
0.200000,2.750653,0.683905,2.784290,1.549287,0.000935,-0.003210,0.258559
0.200000,3.049002,0.767610,3.094159,1.549343,0.000277,-0.003292,0.288498
0.200000,3.344698,0.860199,3.404012,1.549265,-0.000386,-0.003313,0.318391
0.200000,3.637461,0.961554,3.713823,1.549057,-0.001041,-0.003277,0.348158
0.200000,3.927026,1.071526,4.023567,1.548721,-0.001681,-0.003199,0.377720
0.200000,4.213145,1.189936,4.333220,1.548263,-0.002290,-0.003046,0.407003
0.200000,4.495590,1.316577,4.642758,1.547690,-0.002866,-0.002879,0.435939
0.200000,4.774159,1.451222,4.952160,1.547010,-0.003397,-0.002652,0.464462
0.200000,5.048669,1.593622,5.261407,1.546236,-0.003873,-0.002380,0.492514
0.200000,5.278114,1.711316,5.519276,1.289347,-1.284442,-6.402849,0.373391
0.200000,5.512104,1.777394,5.762417,1.215705,-0.368213,4.581149,0.201982
0.200000,5.785357,1.821289,6.039174,1.383781,0.840383,6.042979,0.131719
0.200000,6.084863,1.860067,6.341179,1.510028,0.631233,-1.045752,0.137801
0.200000,6.407798,1.916636,6.669032,1.639263,0.646176,0.074718,0.222503
0.200000,6.753391,2.027249,7.031895,1.814317,0.875269,1.145464,0.414702
0.200000,7.094868,2.246178,7.437526,2.028155,1.069190,0.969606,0.740304
0.200000,7.346312,2.581153,7.856373,2.094233,0.330389,-3.694007,1.107700
0.200000,7.462799,2.921314,8.215926,1.797765,-1.482338,-9.063637,1.360804
0.200000,7.499099,3.179260,8.476413,1.302437,-2.476641,-4.971514,1.494725
0.200000,7.505970,3.342311,8.639609,0.815979,-2.432290,0.221758,1.560598
0.200000,7.505726,3.417538,8.714837,0.376139,-2.199198,1.165457,1.587085
0.200000,7.505417,3.433827,8.731129,0.081460,-1.473398,3.629001,1.592532
0.200000,7.505417,3.433827,8.731129,0.000000,-0.407299,5.330497,1.592532
