dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.031765,0.992987,0.037500,0.375000,1.875000,9.375000,0.001842
0.200000,0.142067,0.993555,0.147803,0.551517,0.882587,-4.962063,0.008498
0.200000,0.325776,0.996160,0.331531,0.918636,1.835595,4.765036,0.019927
0.200000,0.582654,1.003410,0.588511,1.284901,1.831323,-0.021357,0.036645
0.200000,0.875683,1.017081,0.881859,1.466740,0.909192,-4.610654,0.056788
0.200000,1.167997,1.036790,1.174837,1.464890,-0.009250,-4.592211,0.078050
0.200000,1.459441,1.062841,1.467442,1.463028,-0.009306,-0.000283,0.100438
0.200000,1.749840,1.095531,1.759676,1.461167,-0.009306,0.000001,0.123953
0.200000,2.039003,1.135153,2.051540,1.459322,-0.009227,0.000397,0.148584
0.200000,2.326718,1.181984,2.343042,1.457510,-0.009060,0.000832,0.174311
0.200000,2.612759,1.236289,2.634192,1.455751,-0.008795,0.001326,0.201103
0.200000,2.896882,1.298312,2.925006,1.454066,-0.008421,0.001870,0.228913
0.200000,3.178828,1.368271,3.215502,1.452480,-0.007932,0.002445,0.257682
0.200000,3.458328,1.446359,3.505705,1.451016,-0.007323,0.003048,0.287338
0.200000,3.735102,1.532734,3.795644,1.449697,-0.006593,0.003646,0.317791
0.200000,4.008867,1.627519,4.085353,1.448547,-0.005750,0.004216,0.348939
0.200000,4.279337,1.730796,4.374871,1.447586,-0.004803,0.004736,0.380668
0.200000,4.546229,1.842608,4.664237,1.446833,-0.003765,0.005188,0.412852
0.200000,4.809267,1.962951,4.953498,1.446301,-0.002661,0.005519,0.445358
0.200000,5.068187,2.091779,5.242697,1.445998,-0.001512,0.005745,0.478047
0.200000,5.322742,2.229003,5.531883,1.445930,-0.000344,0.005840,0.510778
0.200000,5.630557,2.383610,5.876344,1.722307,1.381886,6.911151,0.366765
0.200000,5.966892,2.481116,6.226528,1.750917,0.143052,-6.194167,0.213651
0.200000,6.281009,2.537710,6.545702,1.595872,-0.775228,-4.591404,0.155407
0.200000,6.571897,2.583904,6.840235,1.472666,-0.616028,0.796001,0.171960
0.200000,6.833691,2.640255,7.108025,1.338949,-0.668583,-0.262774,0.269249
0.200000,7.049840,2.721435,7.338916,1.154454,-0.922477,-1.269472,0.477419
0.200000,7.202470,2.832958,7.527949,0.945163,-1.046455,-0.619891,0.810979
0.200000,7.301907,2.986457,7.710841,0.914461,-0.153511,4.464723,1.162921
0.200000,7.355544,3.171491,7.903493,0.963259,0.243989,1.987500,1.393043
0.200000,7.373959,3.331661,8.064717,0.806123,-0.785678,-5.148336,1.511863
0.200000,7.377046,3.438078,8.171179,0.532310,-1.369065,-2.916935,1.569601
0.200000,7.376645,3.481872,8.214975,0.218981,-1.566647,-0.987911,1.590006
0.200000,7.376529,3.487554,8.220658,0.028415,-0.952828,3.069097,1.592532
0.200000,7.376529,3.487554,8.220658,0.000000,-0.142076,4.053756,1.592532
