dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.032373,0.662987,0.037500,0.375000,1.875000,9.375000,0.001842
0.200000,0.144872,0.663567,0.150000,0.750000,1.875000,0.000000,0.008498
0.200000,0.332352,0.666226,0.337500,1.125000,1.875000,0.000000,0.019927
0.200000,0.594744,0.673631,0.600000,1.500000,1.875000,0.000000,0.036645
0.200000,0.894413,0.687613,0.900000,1.500000,0.000000,-9.375000,0.056788
0.200000,1.193728,0.707795,1.200000,1.500000,0.000000,0.000000,0.078050
0.200000,1.492530,0.734504,1.500000,1.500000,0.000000,0.000000,0.100438
0.200000,1.790640,0.768063,1.800000,1.500000,0.000000,0.000000,0.123953
0.200000,2.087855,0.808789,2.100000,1.500000,0.000000,0.000000,0.148584
0.200000,2.383950,0.856985,2.400000,1.500000,0.000000,0.000000,0.174311
0.200000,2.678677,0.912940,2.700000,1.500000,0.000000,0.000000,0.201103
0.200000,2.971765,0.976920,3.000000,1.500000,0.000000,0.000000,0.228913
0.200000,3.262925,1.049167,3.300000,1.500000,0.000000,0.000000,0.257682
0.200000,3.551850,1.129888,3.600000,1.500000,0.000000,0.000000,0.287338
0.200000,3.838217,1.219258,3.900000,1.500000,0.000000,0.000000,0.317791
0.200000,4.121695,1.317406,4.200000,1.500000,0.000000,0.000000,0.348939
0.200000,4.401946,1.424419,4.500000,1.500000,0.000000,0.000000,0.380668
0.200000,4.678633,1.540334,4.800000,1.500000,0.000000,0.000000,0.412852
0.200000,4.951425,1.665140,5.100000,1.500000,0.000000,0.000000,0.445358
0.200000,5.220003,1.798774,5.400000,1.500000,0.000000,0.000000,0.478047
0.200000,5.484065,1.941123,5.700000,1.500000,0.000000,0.000000,0.510778
0.200000,5.748894,2.075558,6.000000,1.500000,0.000000,0.000000,0.366765
0.200000,6.036862,2.158619,6.300000,1.500000,0.000000,0.000000,0.213651
0.200000,6.332087,2.211687,6.600000,1.500000,0.000000,0.000000,0.155407
0.200000,6.628365,2.258772,6.900000,1.500000,0.000000,0.000000,0.171960
0.200000,6.921473,2.322145,7.200000,1.500000,0.000000,0.000000,0.269249
0.200000,7.201471,2.428334,7.500000,1.500000,0.000000,0.000000,0.477419
0.200000,7.441707,2.605658,7.800000,1.500000,0.000000,0.000000,0.810979
0.200000,7.604835,2.855559,8.100000,1.500000,0.000000,0.000000,1.162921
0.200000,7.680344,3.113141,8.369015,1.190153,-1.549237,-7.746187,1.393043
0.200000,7.703386,3.312224,8.569546,0.815153,-1.875000,-1.628813,1.511863
0.200000,7.707046,3.437684,8.695076,0.440153,-1.875000,0.000000,1.569601
0.200000,7.706585,3.488211,8.745607,0.065153,-1.875000,0.000000,1.590006
0.200000,7.706451,3.494726,8.752122,0.000000,-0.325763,7.746187,1.592532
0.200000,7.706451,3.494726,8.752122,0.000000,0.000000,1.628813,1.592532
