dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,1.923838,4.422982,0.037500,0.375000,1.875000,9.375000,0.004573
0.200000,2.031477,4.424274,0.145147,0.538236,0.816179,-5.294104,0.019276
0.200000,2.211447,4.429812,0.325203,0.900277,1.810205,4.970127,0.041824
0.200000,2.464516,4.443981,0.578667,1.267325,1.835240,0.125175,0.069179
0.200000,2.755228,4.467963,0.870367,1.458497,0.955860,-4.396901,0.094309
0.200000,3.047515,4.498512,1.164247,1.469399,0.054514,-4.506729,0.112842
0.200000,3.341469,4.533767,1.460307,1.480301,0.054510,-0.000022,0.124775
0.200000,3.637263,4.571837,1.758541,1.491169,0.054339,-0.000854,0.130126
0.200000,3.935128,4.610798,2.058943,1.502011,0.054207,-0.000658,0.128908
0.200000,4.235316,4.648688,2.361513,1.512852,0.054206,-0.000005,0.121116
0.200000,4.538065,4.683495,2.666256,1.523715,0.054315,0.000542,0.106736
0.200000,4.843548,4.713153,2.973175,1.534595,0.054399,0.000423,0.085752
0.200000,5.136974,4.734666,3.267389,1.471071,-0.317618,-1.860085,0.059656
0.200000,5.378916,4.746070,3.509599,1.211051,-1.300102,-4.912420,0.033914
0.200000,5.544083,4.750069,3.674815,0.826077,-1.924866,-3.123819,0.014229
0.200000,5.631459,4.750832,3.762194,0.436898,-1.945899,-0.105168,0.003144
0.200000,5.655607,4.750870,3.786343,0.120742,-1.580778,1.825609,6.283185
0.200000,5.655607,4.750870,3.786343,0.000000,-0.603710,4.885338,6.283185
