dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,1.925347,4.092985,0.037500,0.375000,1.875000,9.375000,0.004573
0.200000,2.037838,4.094335,0.150000,0.750000,1.875000,0.000000,0.019276
0.200000,2.225245,4.100101,0.337500,1.125000,1.875000,0.000000,0.041824
0.200000,2.487326,4.114770,0.600000,1.500000,1.875000,0.000000,0.069179
0.200000,2.786303,4.139429,0.900000,1.500000,0.000000,-9.375000,0.094309
0.200000,3.084674,4.170610,1.200000,1.500000,0.000000,0.000000,0.112842
0.200000,3.382538,4.206332,1.500000,1.500000,0.000000,0.000000,0.124775
0.200000,3.680083,4.244627,1.800000,1.500000,0.000000,0.000000,0.130126
0.200000,3.977550,4.283537,2.100000,1.500000,0.000000,0.000000,0.128908
0.200000,4.275187,4.321106,2.400000,1.500000,0.000000,0.000000,0.121116
0.200000,4.573221,4.355373,2.700000,1.500000,0.000000,0.000000,0.106736
0.200000,4.871811,4.384365,3.000000,1.500000,0.000000,0.000000,0.085752
0.200000,5.156649,4.405253,3.285611,1.356110,-0.719452,-3.597262,0.059656
0.200000,5.390105,4.416259,3.519333,0.981110,-1.875000,-5.777738,0.033914
0.200000,5.548778,4.420103,3.678055,0.606110,-1.875000,0.000000,0.014229
0.200000,5.632496,4.420833,3.761777,0.231110,-1.875000,0.000000,0.003144
0.200000,5.655607,4.420870,3.784888,0.000000,-1.155548,3.597262,6.283185
0.200000,5.655607,4.420870,3.784888,0.000000,0.000000,5.777738,6.283185
