dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,1.926856,3.762989,0.037500,0.375000,1.875000,9.375000,0.004573
0.200000,2.044198,3.764396,0.154851,0.586754,1.058770,-4.081149,0.019276
0.200000,2.239043,3.770389,0.349787,0.974683,1.939646,4.404380,0.041824
0.200000,2.510137,3.785560,0.621306,1.357593,1.914550,-0.125482,0.069179
0.200000,2.817379,3.810896,0.929591,1.541424,0.919155,-4.976976,0.094309
0.200000,3.121833,3.842709,1.235702,1.530558,-0.054334,-4.867442,0.112842
0.200000,3.423607,3.878898,1.539639,1.519681,-0.054384,-0.000250,0.124775
0.200000,3.722904,3.917417,1.841404,1.508827,-0.054268,0.000580,0.130126
0.200000,4.019971,3.956275,2.141002,1.497989,-0.054190,0.000386,0.128908
0.200000,4.315058,3.993523,2.438430,1.487141,-0.054243,-0.000265,0.121116
0.200000,4.608377,4.027251,2.733682,1.476259,-0.054406,-0.000814,0.106736
0.200000,4.900075,4.055578,3.026752,1.465350,-0.054545,-0.000696,0.085752
0.200000,5.176324,4.075840,3.303743,1.384957,-0.401964,-1.737097,0.059656
0.200000,5.401295,4.086449,3.528964,1.126104,-1.294268,-4.461516,0.033914
0.200000,5.553473,4.090136,3.681187,0.761116,-1.824940,-2.653360,0.014229
0.200000,5.633534,4.090835,3.761251,0.400317,-1.803993,0.104732,0.003144
0.200000,5.655607,4.090870,3.783324,0.110368,-1.449749,1.771222,6.283185
0.200000,5.655607,4.090870,3.783324,0.000000,-0.551838,4.489557,6.283185
