dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,2.030802,4.443618,0.037500,0.375000,1.875000,9.375000,6.279086
0.200000,2.147607,4.442368,0.154312,0.584059,1.045294,-4.148530,6.266017
0.200000,2.341606,4.437067,0.348383,0.970355,1.931480,4.430932,6.246096
0.200000,2.611661,4.423709,0.618768,1.351929,1.907869,-0.118055,6.222180
0.200000,2.917974,4.401525,0.925883,1.535575,0.918230,-4.948195,6.200601
0.200000,3.221799,4.373863,1.230965,1.525409,-0.050829,-4.845299,6.185193
0.200000,3.523237,4.342668,1.534014,1.515242,-0.050836,-0.000036,6.175952
0.200000,3.822460,4.309836,1.835032,1.505090,-0.050757,0.000395,6.172867
0.200000,4.119664,4.277221,2.134020,1.494944,-0.050732,0.000130,6.175931
0.200000,4.415042,4.246640,2.430977,1.484783,-0.050805,-0.000365,6.185150
0.200000,4.708745,4.219879,2.725896,1.474597,-0.050931,-0.000632,6.200537
0.200000,5.000548,4.198714,3.018466,1.462848,-0.058743,-0.039062,6.222068
0.200000,5.254227,4.186120,3.272458,1.269959,-0.964445,-4.528509,6.245895
0.200000,5.434474,4.181148,3.452774,0.901579,-1.841901,-4.387281,6.265720
0.200000,5.542047,4.179959,3.560353,0.537896,-1.818412,0.117445,6.278693
0.200000,5.577745,4.179879,3.596051,0.178490,-1.797031,0.106906,6.283185
0.200000,5.577745,4.179879,3.596051,0.000000,-0.892450,4.522906,6.283185
