dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,2.029449,4.113621,0.037500,0.375000,1.875000,9.375000,6.279086
0.200000,2.141942,4.112417,0.150000,0.750000,1.875000,0.000000,6.266017
0.200000,2.329369,4.107294,0.337500,1.125000,1.875000,0.000000,6.246096
0.200000,2.591542,4.094323,0.600000,1.500000,1.875000,0.000000,6.222180
0.200000,2.890752,4.072649,0.900000,1.500000,0.000000,-9.375000,6.200601
0.200000,3.189513,4.045446,1.200000,1.500000,0.000000,0.000000,6.185193
0.200000,3.487918,4.014563,1.500000,1.500000,0.000000,0.000000,6.175952
0.200000,3.786128,3.981842,1.800000,1.500000,0.000000,0.000000,6.172867
0.200000,4.084338,3.949118,2.100000,1.500000,0.000000,0.000000,6.175931
0.200000,4.382742,3.918225,2.400000,1.500000,0.000000,0.000000,6.185150
0.200000,4.681502,3.891006,2.700000,1.500000,0.000000,0.000000,6.200537
0.200000,4.980391,3.869330,2.999680,1.496805,-0.015976,-0.079880,6.222068
0.200000,5.241924,3.856349,3.261541,1.121805,-1.875000,-9.295120,6.245895
0.200000,5.428711,3.851198,3.448402,0.746805,-1.875000,0.000000,6.265720
0.200000,5.540565,3.849962,3.560263,0.371805,-1.875000,0.000000,6.278693
0.200000,5.577745,3.849879,3.597444,0.000000,-1.859024,0.079880,6.283185
0.200000,5.577745,3.849879,3.597444,0.000000,0.000000,9.295120,6.283185
