dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,2.028096,3.783623,0.037500,0.375000,1.875000,9.375000,6.279086
0.200000,2.136277,3.782465,0.145687,0.540933,0.829666,-5.226672,6.266017
0.200000,2.317132,3.777521,0.326609,0.904614,1.818404,4.943694,6.246096
0.200000,2.571422,3.764936,0.581211,1.273009,1.841973,0.117842,6.222180
0.200000,2.863530,3.743774,0.874085,1.464367,0.956791,-4.425908,6.200601
0.200000,3.157227,3.717029,1.168997,1.474561,0.050972,-4.529096,6.185193
0.200000,3.452599,3.686459,1.465946,1.484748,0.050931,-0.000203,6.175952
0.200000,3.749797,3.653848,1.764928,1.494909,0.050805,-0.000632,6.172867
0.200000,4.049012,3.621014,2.065939,1.505055,0.050732,-0.000367,6.175931
0.200000,4.350442,3.589809,2.368980,1.515206,0.050757,0.000128,6.185150
0.200000,4.654259,3.562132,2.674055,1.525374,0.050836,0.000394,6.200537
0.200000,4.960235,3.539946,2.980835,1.533899,0.042626,-0.041052,6.222068
0.200000,5.229622,3.526579,3.250552,1.348588,-0.926551,-4.845884,6.245895
0.200000,5.422948,3.521248,3.443952,0.967000,-1.907942,-4.906953,6.265720
0.200000,5.539082,3.519966,3.560093,0.580705,-1.931474,-0.117660,6.278693
0.200000,5.577745,3.519879,3.598756,0.193315,-1.936954,-0.027404,6.283185
0.200000,5.577745,3.519879,3.598756,0.000000,-0.966573,4.851907,6.283185
