dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.037126,7.895236,0.037500,0.375000,1.875000,9.375000,6.274525
0.200000,0.159399,7.892368,0.159806,0.611532,1.182659,-3.461707,6.244795
0.200000,0.363508,7.879282,0.364335,1.022641,2.055546,4.364438,6.193126
0.200000,0.648773,7.842598,0.651948,1.438068,2.077134,0.107939,6.116812
0.200000,0.971483,7.773184,0.982040,1.650458,1.061949,-5.075924,6.025276
0.200000,1.287091,7.673904,1.312895,1.654275,0.019087,-5.214312,5.931407
0.200000,1.591866,7.545541,1.643598,1.653518,-0.003784,-0.114354,5.838001
0.200000,1.882629,7.390222,1.973245,1.648236,-0.026410,-0.113131,5.747822
0.200000,2.157185,7.211051,2.301091,1.639229,-0.045037,-0.093132,5.663144
0.200000,2.414475,7.011593,2.626639,1.627739,-0.057447,-0.062049,5.585478
0.200000,2.654466,6.795397,2.949651,1.615058,-0.063405,-0.029792,5.515546
0.200000,2.877885,6.565679,3.270098,1.602238,-0.064102,-0.003484,5.453427
0.200000,3.085924,6.325175,3.588095,1.589984,-0.061269,0.014166,5.398771
0.200000,3.280000,6.076127,3.903833,1.578688,-0.056482,0.023932,5.350990
0.200000,3.467614,5.771148,4.261899,1.790334,1.058230,5.573560,5.163533
0.200000,3.593386,5.435519,4.620320,1.792103,0.008845,-5.246922,4.985049
0.200000,3.663233,5.102139,4.960938,1.703091,-0.445060,-2.269529,4.861301
0.200000,3.698927,4.781925,5.283136,1.610987,-0.460521,-0.077302,4.793850
0.200000,3.720103,4.477416,5.588380,1.526221,-0.423827,0.183469,4.777947
0.200000,3.742651,4.189532,5.877146,1.443830,-0.411957,0.059350,4.811946
0.200000,3.779950,3.920967,6.148288,1.355711,-0.440593,-0.143180,4.899133
0.200000,3.843130,3.676896,6.400404,1.260577,-0.475669,-0.175379,5.043572
0.200000,3.940092,3.462152,6.636024,1.178100,-0.412385,0.316418,5.237533
0.200000,4.075645,3.276828,6.865631,1.148037,-0.150317,1.310343,5.449526
0.200000,4.255591,3.111687,7.109869,1.221190,0.365763,2.580399,5.610969
0.200000,4.468744,2.962738,7.369907,1.300192,0.395012,0.146246,5.731586
0.200000,4.704003,2.833900,7.638136,1.341140,0.204742,-0.951351,5.827551
0.200000,4.957767,2.720735,7.915988,1.389265,0.240621,0.179395,5.894506
0.200000,5.226233,2.617387,8.203660,1.438357,0.245461,0.024202,5.931815
0.200000,5.506018,2.516892,8.500946,1.486429,0.240363,-0.025493,5.940036
0.200000,5.794110,2.411367,8.807756,1.534053,0.238118,-0.011226,5.919381
0.200000,6.067822,2.304099,9.101736,1.469900,-0.320763,-2.794401,5.930639
0.200000,6.342632,2.209424,9.392398,1.453308,-0.082964,1.188994,5.958907
0.200000,6.640385,2.103506,9.708428,1.580153,0.634226,3.585947,5.910233
0.200000,6.966698,1.944702,10.071332,1.814520,1.171836,2.688052,5.717932
0.200000,7.300305,1.531828,10.602141,2.654042,4.197611,15.128877,4.980102
0.200000,7.199199,0.986370,11.156890,2.773747,0.598523,-17.995443,4.157911
0.200000,6.965591,0.703317,11.523894,1.835020,-4.693636,-26.460793,3.918208
0.200000,6.764048,0.523850,11.793761,1.349333,-2.428431,11.326024,3.827564
0.200000,6.623654,0.413806,11.972142,0.891908,-2.287126,0.706527,3.787117
0.200000,6.546563,0.356826,12.068006,0.479318,-2.062949,1.120881,3.769482
0.200000,6.524010,0.340536,12.095827,0.139104,-1.701071,1.809391,3.764792
0.200000,6.524010,0.340536,12.095827,0.000000,-0.695521,5.027750,3.764792
