dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034269,7.565249,0.037500,0.375000,1.875000,9.375000,6.274525
0.200000,0.146733,7.562612,0.150000,0.750000,1.875000,0.000000,6.244795
0.200000,0.333829,7.550619,0.337500,1.125000,1.875000,0.000000,6.193126
0.200000,0.594122,7.517155,0.600000,1.500000,1.875000,0.000000,6.116812
0.200000,0.887314,7.454099,0.900000,1.500000,0.000000,-9.375000,6.025276
0.200000,1.173384,7.364112,1.200000,1.500000,0.000000,0.000000,5.931407
0.200000,1.449760,7.247705,1.500000,1.500000,0.000000,0.000000,5.838001
0.200000,1.714279,7.106394,1.800000,1.500000,0.000000,0.000000,5.747822
0.200000,1.965432,6.942479,2.100000,1.500000,0.000000,0.000000,5.663144
0.200000,2.202462,6.758708,2.400000,1.500000,0.000000,0.000000,5.585478
0.200000,2.425301,6.557945,2.700000,1.500000,0.000000,0.000000,5.515546
0.200000,2.634422,6.342911,3.000000,1.500000,0.000000,0.000000,5.453427
0.200000,2.830654,6.116040,3.300000,1.500000,0.000000,0.000000,5.398771
0.200000,3.015033,5.879423,3.600000,1.500000,0.000000,0.000000,5.350990
0.200000,3.170631,5.627269,3.900000,1.500000,0.000000,0.000000,5.163533
0.200000,3.275577,5.346652,4.200000,1.500000,0.000000,0.000000,4.985049
0.200000,3.336885,5.053179,4.500000,1.500000,0.000000,0.000000,4.861301
0.200000,3.370021,4.755073,4.800000,1.500000,0.000000,0.000000,4.793850
0.200000,3.390812,4.455798,5.100000,1.500000,0.000000,0.000000,4.777947
0.200000,3.414285,4.156732,5.400000,1.500000,0.000000,0.000000,4.811946
0.200000,3.455687,3.859699,5.700000,1.500000,0.000000,0.000000,4.899133
0.200000,3.531063,3.569593,6.000000,1.500000,0.000000,0.000000,5.043572
0.200000,3.654559,3.296711,6.300000,1.500000,0.000000,0.000000,5.237533
0.200000,3.831315,3.055012,6.600000,1.500000,0.000000,0.000000,5.449526
0.200000,4.050093,2.853481,6.900000,1.500000,0.000000,0.000000,5.610969
0.200000,4.295807,2.681681,7.200000,1.500000,0.000000,0.000000,5.731586
0.200000,4.558793,2.537566,7.500000,1.500000,0.000000,0.000000,5.827551
0.200000,4.832708,2.415349,7.800000,1.500000,0.000000,0.000000,5.894506
0.200000,5.112652,2.307549,8.100000,1.500000,0.000000,0.000000,5.931815
0.200000,5.394988,2.206131,8.400000,1.500000,0.000000,0.000000,5.940036
0.200000,5.676686,2.102965,8.700000,1.500000,0.000000,0.000000,5.919381
0.200000,5.953876,1.994396,9.000000,1.500000,0.000000,0.000000,5.930639
0.200000,6.237486,1.896624,9.300000,1.500000,0.000000,0.000000,5.958907
0.200000,6.520144,1.796192,9.600000,1.500000,0.000000,0.000000,5.910233
0.200000,6.789940,1.666032,9.900000,1.500000,0.000000,0.000000,5.717932
0.200000,6.982060,1.444534,10.200000,1.500000,0.000000,0.000000,4.980102
0.200000,6.918641,1.160115,10.500000,1.500000,0.000000,0.000000,4.157911
0.200000,6.734304,0.938703,10.788773,1.387728,-0.561358,-2.806789,3.918208
0.200000,6.555017,0.779206,11.028819,1.012728,-1.875000,-6.568211,3.827564
0.200000,6.425121,0.677405,11.193864,0.637728,-1.875000,0.000000,3.787117
0.200000,6.352708,0.623885,11.283910,0.262728,-1.875000,0.000000,3.769482
0.200000,6.331410,0.608501,11.310183,0.000000,-1.313642,2.806789,3.764792
0.200000,6.331410,0.608501,11.310183,0.000000,0.000000,6.568211,3.764792
