dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.036077,7.895316,0.037500,0.375000,1.875000,9.375000,6.278770
0.200000,0.153667,7.893899,0.155098,0.587992,1.064960,-4.050198,6.263317
0.200000,0.350471,7.887233,0.352016,0.984588,1.982979,4.590092,6.234759
0.200000,0.627557,7.867525,0.629802,1.388929,2.021704,0.193628,6.188363
0.200000,0.945839,7.827357,0.950608,1.604034,1.075525,-4.730895,6.125150
0.200000,1.264443,7.764538,1.275346,1.623688,0.098271,-4.886273,6.049956
0.200000,1.580848,7.674865,1.604213,1.644335,0.103234,0.024815,5.962160
0.200000,1.891131,7.554478,1.937032,1.664095,0.098804,-0.022151,5.862288
0.200000,2.189934,7.400760,2.273056,1.680121,0.080130,-0.093369,5.752612
0.200000,2.471050,7.213351,2.610915,1.689292,0.045852,-0.171387,5.637321
0.200000,2.728676,6.994680,2.948832,1.689588,0.001478,-0.221870,5.521849
0.200000,2.958791,6.749510,3.285078,1.681228,-0.041800,-0.216391,5.411497
0.200000,3.159880,6.483700,3.618382,1.666523,-0.073524,-0.158621,5.310140
0.200000,3.335078,6.193421,3.957434,1.695260,0.143688,1.086059,5.182222
0.200000,3.467894,5.860939,4.315463,1.790142,0.474408,1.653602,5.004949
0.200000,3.542470,5.520408,4.664064,1.743004,-0.235688,-3.550479,4.856701
0.200000,3.572111,5.187586,4.998204,1.670700,-0.361521,-0.629168,4.752788
0.200000,3.574741,4.868796,5.317004,1.594001,-0.383496,-0.109872,4.695685
0.200000,3.566695,4.564848,5.621059,1.520273,-0.368637,0.074292,4.683391
0.200000,3.561786,4.275390,5.910559,1.447501,-0.363863,0.023870,4.715171
0.200000,3.572010,4.001236,6.184903,1.371719,-0.378908,-0.075222,4.792708
0.200000,3.607633,3.744893,6.443709,1.294033,-0.388431,-0.047615,4.917030
0.200000,3.678883,3.493890,6.704629,1.304601,0.052840,2.206356,5.023932
0.200000,3.770746,3.209857,7.003148,1.492594,0.939963,4.435613,5.028420
0.200000,3.864308,2.930507,7.297750,1.473009,-0.097925,-5.189442,5.044769
0.200000,3.962735,2.657169,7.588269,1.452595,-0.102068,-0.020715,5.073469
0.200000,4.069099,2.391488,7.874450,1.430907,-0.108438,-0.031846,5.115280
0.200000,4.186345,2.135499,8.156012,1.407809,-0.115494,-0.035283,5.171043
0.200000,4.317195,1.891638,8.432761,1.383747,-0.120310,-0.024081,5.241327
0.200000,4.463974,1.662617,8.704781,1.360096,-0.118253,0.010288,5.325871
0.200000,4.628415,1.451164,8.972649,1.339342,-0.103772,0.072406,5.422920
0.200000,4.811485,1.259653,9.237585,1.324680,-0.073308,0.152319,5.528799
0.200000,5.006145,1.095164,9.492435,1.274253,-0.252136,-0.894140,5.634524
0.200000,5.181688,0.973816,9.705839,1.067016,-1.036186,-3.920251,5.721636
0.200000,5.309264,0.898663,9.853905,0.740330,-1.633428,-2.986211,5.779609
0.200000,5.381701,0.860208,9.935916,0.410057,-1.651364,-0.089677,5.810527
0.200000,5.403463,0.849205,9.960302,0.121928,-1.440649,1.053576,5.819538
0.200000,5.403463,0.849205,9.960302,0.000000,-0.609638,4.155054,5.819538
