dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034620,7.565319,0.037500,0.375000,1.875000,9.375000,6.278770
0.200000,0.147111,7.563964,0.150000,0.750000,1.875000,0.000000,6.263317
0.200000,0.334497,7.557620,0.337500,1.125000,1.875000,0.000000,6.234759
0.200000,0.596313,7.539007,0.600000,1.500000,1.875000,0.000000,6.188363
0.200000,0.893905,7.501470,0.900000,1.500000,0.000000,-9.375000,6.125150
0.200000,1.188173,7.443473,1.200000,1.500000,0.000000,0.000000,6.049956
0.200000,1.476720,7.361724,1.500000,1.500000,0.000000,0.000000,5.962160
0.200000,1.756300,7.253279,1.800000,1.500000,0.000000,0.000000,5.862288
0.200000,2.022945,7.116129,2.100000,1.500000,0.000000,0.000000,5.752612
0.200000,2.272427,6.949820,2.400000,1.500000,0.000000,0.000000,5.637321
0.200000,2.501012,6.755788,2.700000,1.500000,0.000000,0.000000,5.521849
0.200000,2.706203,6.537144,3.000000,1.500000,0.000000,0.000000,5.411497
0.200000,2.887101,6.297981,3.300000,1.500000,0.000000,0.000000,5.310140
0.200000,3.040835,6.044017,3.600000,1.500000,0.000000,0.000000,5.182222
0.200000,3.151916,5.765765,3.900000,1.500000,0.000000,0.000000,5.004949
0.200000,3.215900,5.472951,4.200000,1.500000,0.000000,0.000000,4.856701
0.200000,3.242381,5.174258,4.500000,1.500000,0.000000,0.000000,4.752788
0.200000,3.244787,4.874308,4.800000,1.500000,0.000000,0.000000,4.695685
0.200000,3.236834,4.574416,5.100000,1.500000,0.000000,0.000000,4.683391
0.200000,3.231788,4.274471,5.400000,1.500000,0.000000,0.000000,4.715171
0.200000,3.243074,3.974759,5.700000,1.500000,0.000000,0.000000,4.792708
0.200000,3.284519,3.677832,6.000000,1.500000,0.000000,0.000000,4.917030
0.200000,3.364769,3.392735,6.300000,1.500000,0.000000,0.000000,5.023932
0.200000,3.457089,3.107294,6.600000,1.500000,0.000000,0.000000,5.028420
0.200000,3.552369,2.822830,6.900000,1.500000,0.000000,0.000000,5.044769
0.200000,3.654014,2.540585,7.200000,1.500000,0.000000,0.000000,5.073469
0.200000,3.765521,2.262102,7.500000,1.500000,0.000000,0.000000,5.115280
0.200000,3.890451,1.989395,7.800000,1.500000,0.000000,0.000000,5.171043
0.200000,4.032292,1.725114,8.100000,1.500000,0.000000,0.000000,5.241327
0.200000,4.194150,1.472630,8.400000,1.500000,0.000000,0.000000,5.325871
0.200000,4.378270,1.235926,8.700000,1.500000,0.000000,0.000000,5.422920
0.200000,4.585488,1.019184,9.000000,1.500000,0.000000,0.000000,5.528799
0.200000,4.806785,0.832190,9.289859,1.398589,-0.507055,-2.535275,5.634524
0.200000,5.005964,0.694494,9.532077,1.023589,-1.875000,-6.839725,5.721636
0.200000,5.150019,0.609629,9.699295,0.648589,-1.875000,0.000000,5.779609
0.200000,5.231467,0.566389,9.791512,0.273589,-1.875000,0.000000,5.810527
0.200000,5.255882,0.554044,9.818871,0.000000,-1.367945,2.535275,5.819538
0.200000,5.255882,0.554044,9.818871,0.000000,0.000000,6.839725,5.819538
