dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034620,7.565319,0.037500,0.375000,1.875000,9.375000,6.278770
0.200000,0.147111,7.563964,0.150000,0.750000,1.875000,0.000000,6.263317
0.200000,0.334497,7.557620,0.337500,1.125000,1.875000,0.000000,6.234759
0.200000,0.596313,7.539007,0.600000,1.500000,1.875000,0.000000,6.188363
0.200000,0.893905,7.501470,0.900000,1.500000,0.000000,-9.375000,6.125150
0.200000,1.188173,7.443473,1.200000,1.500000,0.000000,0.000000,6.049956
0.200000,1.476720,7.361724,1.500000,1.500000,0.000000,0.000000,5.962160
0.200000,1.756300,7.253279,1.800000,1.500000,0.000000,0.000000,5.862288
0.200000,2.022945,7.116129,2.100000,1.500000,0.000000,0.000000,5.752612
0.200000,2.272427,6.949820,2.400000,1.500000,0.000000,0.000000,5.637321
0.200000,2.501012,6.755788,2.700000,1.500000,0.000000,0.000000,5.521849
0.200000,2.706203,6.537144,3.000000,1.500000,0.000000,0.000000,5.411497
0.200000,2.887101,6.297981,3.300000,1.500000,0.000000,0.000000,5.310140
0.200000,3.042671,6.045034,3.600000,1.500000,0.000000,0.000000,5.217004
0.200000,3.174600,5.775736,3.900000,1.500000,0.000000,0.000000,5.118377
0.200000,3.279155,5.494677,4.200000,1.500000,0.000000,0.000000,5.018864
0.200000,3.355614,5.204705,4.500000,1.500000,0.000000,0.000000,4.922341
0.200000,3.404652,4.908843,4.800000,1.500000,0.000000,0.000000,4.832253
0.200000,3.428154,4.609848,5.100000,1.500000,0.000000,0.000000,4.751021
0.200000,3.428814,4.309912,5.400000,1.500000,0.000000,0.000000,4.679885
0.200000,3.409704,4.010567,5.700000,1.500000,0.000000,0.000000,4.619096
0.200000,3.373940,3.712739,6.000000,1.500000,0.000000,0.000000,4.568265
0.200000,3.325451,3.422453,6.300000,1.500000,0.000000,0.000000,4.524972
0.200000,3.261710,3.129341,6.600000,1.500000,0.000000,0.000000,4.470311
0.200000,3.180924,2.840474,6.900000,1.500000,0.000000,0.000000,4.407630
0.200000,3.080928,2.557698,7.200000,1.500000,0.000000,0.000000,4.335713
0.200000,2.959485,2.283470,7.500000,1.500000,0.000000,0.000000,4.253482
0.200000,2.814508,2.020951,7.800000,1.500000,0.000000,0.000000,4.160327
0.200000,2.644426,1.773987,8.100000,1.500000,0.000000,0.000000,4.056590
0.200000,2.448649,1.546883,8.400000,1.500000,0.000000,0.000000,3.944057
0.200000,2.228004,1.343877,8.700000,1.500000,0.000000,0.000000,3.826174
0.200000,1.984884,1.168415,9.000000,1.500000,0.000000,0.000000,3.707609
0.200000,1.722952,1.022491,9.300000,1.500000,0.000000,0.000000,3.593200
0.200000,1.446488,0.906379,9.600000,1.500000,0.000000,0.000000,3.486800
0.200000,1.159665,0.818837,9.900000,1.500000,0.000000,0.000000,3.390653
0.200000,0.866069,0.757624,10.200000,1.500000,0.000000,0.000000,3.305451
0.200000,0.572454,0.720381,10.496035,1.460353,-0.198237,-0.991184,3.231713
0.200000,0.318400,0.704707,10.750606,1.085353,-1.875000,-8.383816,3.175797
0.200000,0.138862,0.701814,10.930176,0.710353,-1.875000,0.000000,3.140104
0.200000,0.034300,0.702996,11.034747,0.335353,-1.875000,0.000000,3.120626
0.200000,0.000774,0.703801,11.068282,0.000000,-1.676763,0.991184,3.114572
0.200000,0.000774,0.703801,11.068282,0.000000,0.000000,8.383816,3.114572
