dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.033163,7.235322,0.037500,0.375000,1.875000,9.375000,6.278770
0.200000,0.140555,7.234030,0.144899,0.536997,0.809984,-5.325082,6.263317
0.200000,0.318522,7.228007,0.322969,0.890349,1.766760,4.783883,6.234759
0.200000,0.565068,7.210490,0.570136,1.235836,1.727436,-0.196618,6.188363
0.200000,0.841970,7.175582,0.849230,1.395466,0.798153,-4.646419,6.125150
0.200000,1.111903,7.122407,1.124351,1.375605,-0.099308,-4.487304,6.049956
0.200000,1.372592,7.048583,1.395291,1.354701,-0.104518,-0.026050,5.962160
0.200000,1.621468,6.952081,1.662222,1.334656,-0.100226,0.021460,5.862288
0.200000,1.855955,6.831498,1.925896,1.318372,-0.081417,0.094045,5.752612
0.200000,2.073804,6.686289,2.187705,1.309043,-0.046647,0.173851,5.637321
0.200000,2.273349,6.516896,2.449453,1.308742,-0.001506,0.225706,5.521849
0.200000,2.453616,6.324777,2.712903,1.317249,0.042537,0.220214,5.411497
0.200000,2.614322,6.112262,2.979341,1.332189,0.074700,0.160813,5.310140
0.200000,2.753802,5.885489,3.245575,1.331170,-0.005095,-0.398974,5.217004
0.200000,2.871425,5.645410,3.512920,1.336722,0.027759,0.164272,5.118377
0.200000,2.964532,5.395117,3.779970,1.335252,-0.007351,-0.175551,5.018864
0.200000,3.032861,5.135929,4.048013,1.340216,0.024822,0.160863,4.922341
0.200000,3.077020,4.869382,4.318192,1.350897,0.053404,0.142914,4.832253
0.200000,3.098400,4.597102,4.591311,1.365592,0.073477,0.100365,4.751021
0.200000,3.098988,4.320636,4.867778,1.382334,0.083706,0.051144,4.679885
0.200000,3.081139,4.041309,5.147674,1.399482,0.085744,0.010189,4.619096
0.200000,3.047361,3.760136,5.430869,1.415976,0.082466,-0.016387,4.568265
0.200000,3.001230,3.483939,5.710892,1.400115,-0.079302,-0.808843,4.524972
0.200000,2.941332,3.208449,5.992818,1.409631,0.047579,0.634405,4.470311
0.200000,2.866131,2.939495,6.272088,1.396348,-0.066414,-0.569966,4.407630
0.200000,2.774063,2.679082,6.548296,1.381041,-0.076537,-0.050613,4.335713
0.200000,2.663628,2.429650,6.821083,1.363933,-0.085537,-0.044999,4.253482
0.200000,2.533531,2.194017,7.090245,1.345808,-0.090628,-0.025455,4.160327
0.200000,2.382881,1.975219,7.355892,1.328236,-0.087862,0.013831,4.056590
0.200000,2.211356,1.776212,7.618617,1.313627,-0.073045,0.074083,3.944057
0.200000,2.019329,1.599522,7.879564,1.304734,-0.044461,0.142917,3.826174
0.200000,1.807914,1.446949,8.140284,1.303602,-0.005663,0.193994,3.707609
0.200000,1.578936,1.319408,8.402386,1.310509,0.034537,0.200996,3.593200
0.200000,1.334818,1.216910,8.667149,1.323815,0.066530,0.159968,3.486800
0.200000,1.078322,1.138655,8.935317,1.340840,0.085125,0.092972,3.390653
0.200000,0.812238,1.083204,9.207118,1.359004,0.090819,0.028471,3.305451
0.200000,0.542755,1.049042,9.478758,1.358200,-0.004021,-0.474200,3.231713
0.200000,0.307115,1.034514,9.714845,1.180438,-0.888809,-4.423939,3.175797
0.200000,0.139353,1.031814,9.882628,0.838915,-1.707612,-4.094018,3.140104
0.200000,0.041218,1.032924,9.980770,0.490706,-1.741049,-0.167181,3.120626
0.200000,0.009690,1.033680,10.012307,0.157689,-1.665082,0.379832,3.114572
0.200000,0.009690,1.033680,10.012307,0.000000,-0.788446,4.383180,3.114572
