dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034438,7.895323,0.037500,0.375000,1.875000,9.375000,6.279043
0.200000,0.151477,7.894023,0.154545,0.585227,1.051137,-4.119313,6.265266
0.200000,0.345728,7.888485,0.348876,0.971652,1.932121,4.404916,6.244558
0.200000,0.615874,7.874640,0.619377,1.352505,1.904265,-0.139280,6.220292
0.200000,0.921971,7.851951,0.926313,1.534683,0.910892,-4.966861,6.199255
0.200000,1.225313,7.824117,1.230930,1.523081,-0.058009,-4.844508,6.185259
0.200000,1.526067,7.793326,1.533256,1.511630,-0.057255,0.003769,6.178209
0.200000,1.824448,7.761690,1.833309,1.500265,-0.056823,0.002159,6.178048
0.200000,2.120669,7.731265,2.131088,1.488897,-0.056842,-0.000094,6.184775
0.200000,2.414901,7.704069,2.426575,1.477434,-0.057315,-0.002364,6.198444
0.200000,2.707239,7.682105,2.719737,1.465810,-0.058121,-0.004029,6.219150
0.200000,2.997667,7.667359,3.010538,1.454008,-0.059010,-0.004445,6.246995
0.200000,3.286032,7.661795,3.298957,1.442095,-0.059566,-0.002781,6.282045
0.200000,3.572029,7.667328,3.585007,1.430250,-0.059222,0.001720,0.041067
0.200000,3.855188,7.685771,3.868767,1.418797,-0.057266,0.009782,0.090195
0.200000,4.134890,7.718766,4.150408,1.408205,-0.052961,0.021525,0.145718
0.200000,4.410389,7.767703,4.430220,1.399059,-0.045729,0.036158,0.206762
0.200000,4.664764,7.829178,4.691918,1.308491,-0.452839,-2.035552,0.268063
0.200000,4.865354,7.889803,4.901469,1.047754,-1.303687,-4.254240,0.319165
0.200000,4.997479,7.936020,5.041444,0.699875,-1.739394,-2.178531,0.353877
0.200000,5.063513,7.961077,5.112073,0.353144,-1.733655,0.028693,0.371475
0.200000,5.080260,7.967644,5.130061,0.089943,-1.316005,2.088250,0.375961
0.200000,5.080260,7.967644,5.130061,0.000000,-0.449716,4.331445,0.375961
