dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.033071,7.565326,0.037500,0.375000,1.875000,9.375000,6.279043
0.200000,0.145564,7.564076,0.150000,0.750000,1.875000,0.000000,6.265266
0.200000,0.332984,7.558731,0.337500,1.125000,1.875000,0.000000,6.244558
0.200000,0.595133,7.545293,0.600000,1.500000,1.875000,0.000000,6.220292
0.200000,0.894307,7.523112,0.900000,1.500000,0.000000,-9.375000,6.199255
0.200000,1.193049,7.495698,1.200000,1.500000,0.000000,0.000000,6.185259
0.200000,1.491488,7.465143,1.500000,1.500000,0.000000,0.000000,6.178209
0.200000,1.789816,7.433513,1.800000,1.500000,0.000000,0.000000,6.178048
0.200000,2.088246,7.402861,2.100000,1.500000,0.000000,0.000000,6.184775
0.200000,2.386970,7.375253,2.400000,1.500000,0.000000,0.000000,6.198444
0.200000,2.686122,7.352781,2.700000,1.500000,0.000000,0.000000,6.219150
0.200000,2.985727,7.337575,3.000000,1.500000,0.000000,0.000000,6.246995
0.200000,3.285656,7.331796,3.300000,1.500000,0.000000,0.000000,6.282045
0.200000,3.585577,7.337607,3.600000,1.500000,0.000000,0.000000,0.041067
0.200000,3.884912,7.357112,3.900000,1.500000,0.000000,0.000000,0.090195
0.200000,4.182807,7.392263,4.200000,1.500000,0.000000,0.000000,0.145718
0.200000,4.478135,7.444731,4.500000,1.500000,0.000000,0.000000,0.206762
0.200000,4.752169,7.510964,4.781969,1.319686,-0.901569,-4.507844,0.268063
0.200000,4.968899,7.576468,5.008406,0.944686,-1.875000,-4.867156,0.319165
0.200000,5.111836,7.626468,5.159843,0.569686,-1.875000,0.000000,0.353877
0.200000,5.183300,7.653586,5.236280,0.194686,-1.875000,0.000000,0.371475
0.200000,5.201425,7.660693,5.255749,0.000000,-0.973431,4.507844,0.375961
0.200000,5.201425,7.660693,5.255749,0.000000,0.000000,4.867156,0.375961
