dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.031705,7.235329,0.037500,0.375000,1.875000,9.375000,6.279043
0.200000,0.139651,7.234129,0.145453,0.539764,0.823818,-5.255911,6.265266
0.200000,0.320240,7.228978,0.326116,0.903315,1.817756,4.969693,6.244558
0.200000,0.574392,7.215945,0.580602,1.272431,1.845581,0.139122,6.220292
0.200000,0.866642,7.194274,0.873654,1.465262,0.964153,-4.407141,6.199255
0.200000,1.160785,7.167279,1.169033,1.476894,0.058164,-4.529941,6.185259
0.200000,1.456910,7.136959,1.466706,1.488364,0.057346,-0.004093,6.178209
0.200000,1.755185,7.105335,1.766653,1.499735,0.056855,-0.002455,6.178048
0.200000,2.055823,7.074458,2.068872,1.511097,0.056814,-0.000205,6.184775
0.200000,2.359039,7.046438,2.373381,1.522542,0.057225,0.002058,6.198444
0.200000,2.665005,7.023458,2.680208,1.534137,0.057971,0.003729,6.219150
0.200000,2.973787,7.007791,2.989387,1.545895,0.058791,0.004099,6.246995
0.200000,3.285279,7.001796,3.300937,1.557752,0.059284,0.002464,6.282045
0.200000,3.599126,7.007885,3.614843,1.569527,0.058875,-0.002045,0.041067
0.200000,3.914636,7.028454,3.931023,1.580901,0.056870,-0.010022,0.090195
0.200000,4.230724,7.065760,4.249304,1.591409,0.052540,-0.021654,0.145718
0.200000,4.545882,7.121760,4.569399,1.600474,0.045327,-0.036064,0.206762
0.200000,4.839575,7.192750,4.871550,1.510753,-0.448606,-2.469664,0.268063
0.200000,5.072445,7.263134,5.114824,1.216373,-1.471901,-5.116476,0.319165
0.200000,5.226193,7.316916,5.277708,0.814418,-2.009771,-2.689348,0.353877
0.200000,5.303087,7.346094,5.359951,0.411218,-2.016003,-0.031160,0.371475
0.200000,5.322590,7.353742,5.380901,0.104746,-1.532358,2.418222,0.375961
0.200000,5.322590,7.353742,5.380901,0.000000,-0.523731,5.043139,0.375961
