dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.039256,7.895147,0.037500,0.375000,1.875000,9.375000,6.270386
0.200000,0.165205,7.890936,0.163519,0.630093,1.275464,-2.997681,6.229394
0.200000,0.372996,7.872976,0.372085,1.042831,2.063689,3.941126,6.165450
0.200000,0.657572,7.827682,0.660243,1.440792,1.989806,-0.369413,6.087475
0.200000,0.971895,7.753317,0.983242,1.614997,0.871027,-5.593895,6.017580
0.200000,1.274437,7.662569,1.299102,1.579297,-0.178504,-5.247655,5.969428
0.200000,1.566621,7.562908,1.607815,1.543566,-0.178653,-0.000748,5.942997
0.200000,1.850569,7.461031,1.909486,1.508353,-0.176062,0.012955,5.937933
0.200000,2.128452,7.363059,2.204134,1.473239,-0.175570,0.002460,5.954142
0.200000,2.402089,7.274784,2.491658,1.437621,-0.178094,-0.012617,5.991896
0.200000,2.672714,7.201793,2.771953,1.401477,-0.180719,-0.013126,6.051481
0.200000,2.940873,7.149346,3.045193,1.366198,-0.176395,0.021621,6.132347
0.200000,3.224645,7.116206,3.330893,1.428501,0.311516,2.439556,6.170461
0.200000,3.524696,7.080489,3.633062,1.510845,0.411720,0.501016,6.163886
0.200000,3.815235,7.048334,3.925375,1.461567,-0.246388,-3.290537,6.187158
0.200000,4.096831,7.028028,4.207702,1.411635,-0.249664,-0.016382,6.240610
0.200000,4.369224,7.027060,4.480097,1.361974,-0.248303,0.006805,0.040837
0.200000,4.631505,7.051722,4.743535,1.317189,-0.223923,0.121899,0.151225
0.200000,5.005746,7.067927,5.118127,1.872959,2.778847,15.013850,6.201139
0.200000,5.273564,7.047738,5.386705,1.342891,-2.650338,-27.145924,0.012835
0.200000,5.370816,7.066894,5.485826,0.495604,-4.236434,-7.930479,0.617683
0.200000,5.427559,7.147766,5.584619,0.493967,-0.008185,21.141244,1.131262
0.200000,5.481170,7.286071,5.732951,0.741659,1.238461,6.233230,1.288939
0.200000,5.495783,7.355744,5.804140,0.355943,-1.928580,-15.835204,1.454380
0.200000,5.497697,7.380347,5.828817,0.123387,-1.162783,3.828984,1.533719
0.200000,5.497796,7.383475,5.831946,0.015647,-0.538700,3.120417,1.544487
0.200000,5.497796,7.383475,5.831946,0.000000,-0.078234,2.302327,1.544487
