dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.035033,7.565174,0.037500,0.375000,1.875000,9.375000,6.270386
0.200000,0.147462,7.561413,0.150000,0.750000,1.875000,0.000000,6.229394
0.200000,0.334233,7.545260,0.337500,1.125000,1.875000,0.000000,6.165450
0.200000,0.593399,7.503982,0.600000,1.500000,1.875000,0.000000,6.087475
0.200000,0.885272,7.434889,0.900000,1.500000,0.000000,-9.375000,6.017580
0.200000,1.172588,7.348679,1.200000,1.500000,0.000000,0.000000,5.969428
0.200000,1.456512,7.251819,1.500000,1.500000,0.000000,0.000000,5.942997
0.200000,1.738886,7.150504,1.800000,1.500000,0.000000,0.000000,5.937933
0.200000,2.021816,7.050763,2.100000,1.500000,0.000000,0.000000,5.954142
0.200000,2.307317,6.958686,2.400000,1.500000,0.000000,0.000000,5.991896
0.200000,2.596934,6.880612,2.700000,1.500000,0.000000,0.000000,6.051481
0.200000,2.891285,6.823093,3.000000,1.500000,0.000000,0.000000,6.132347
0.200000,3.187525,6.788300,3.300000,1.500000,0.000000,0.000000,6.170461
0.200000,3.485420,6.752835,3.600000,1.500000,0.000000,0.000000,6.163886
0.200000,3.783595,6.719854,3.900000,1.500000,0.000000,0.000000,6.187158
0.200000,4.082785,6.698327,4.200000,1.500000,0.000000,0.000000,6.240610
0.200000,4.382696,6.697336,4.500000,1.500000,0.000000,0.000000,0.040837
0.200000,4.681219,6.725489,4.800000,1.500000,0.000000,0.000000,0.151225
0.200000,4.978701,6.739037,5.100000,1.500000,0.000000,0.000000,6.201139
0.200000,5.277800,6.717765,5.400000,1.500000,0.000000,0.000000,0.012835
0.200000,5.561935,6.797870,5.700000,1.500000,0.000000,0.000000,0.617683
0.200000,5.726193,7.007345,5.969183,1.191828,-1.540861,-7.704305,1.131262
0.200000,5.798149,7.194285,6.170048,0.816828,-1.875000,-1.670695,1.288939
0.200000,5.823549,7.317413,6.295914,0.441828,-1.875000,0.000000,1.454380
0.200000,5.827470,7.368114,6.346779,0.066828,-1.875000,0.000000,1.533719
0.200000,5.827682,7.374794,6.353462,0.000000,-0.334139,7.704305,1.544487
0.200000,5.827682,7.374794,6.353462,0.000000,0.000000,1.670695,1.544487
