dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.039000,7.895163,0.037500,0.375000,1.875000,9.375000,6.271164
0.200000,0.164146,7.891232,0.162708,0.626041,1.255206,-3.098969,6.232631
0.200000,0.370833,7.874430,0.370077,1.036842,2.054006,3.993999,6.172328
0.200000,0.654566,7.831857,0.656986,1.434547,1.988521,-0.327423,6.098160
0.200000,0.969045,7.761420,0.979256,1.611352,0.884025,-5.522484,6.030488
0.200000,1.272759,7.674627,1.295129,1.579361,-0.159953,-5.219886,5.982297
0.200000,1.566788,7.578247,1.604551,1.547112,-0.161246,-0.006464,5.953712
0.200000,1.852924,7.478418,1.907602,1.515253,-0.159294,0.009756,5.944464
0.200000,2.133110,7.380764,2.204317,1.483578,-0.158374,0.004602,5.954413
0.200000,2.409075,7.290596,2.494639,1.451610,-0.159839,-0.007326,5.983708
0.200000,2.682106,7.213043,2.778471,1.419160,-0.162250,-0.012054,6.032616
0.200000,2.952919,7.153023,3.055856,1.386922,-0.161190,0.005302,6.100984
0.200000,3.235353,7.109943,3.341556,1.428501,0.207895,1.845424,6.138726
0.200000,3.532549,7.066110,3.641968,1.502058,0.367780,0.799427,6.137478
0.200000,3.824739,7.025052,3.937028,1.475303,-0.133774,-2.507772,6.152438
0.200000,4.112449,6.991373,4.226702,1.448370,-0.134662,-0.004440,6.183693
0.200000,4.395886,6.969464,4.510985,1.421413,-0.134786,-0.000618,6.231240
0.200000,4.674868,6.963426,4.790032,1.395237,-0.130881,0.019524,0.011405
0.200000,4.996917,6.968402,5.112120,1.610436,1.075995,6.034380,6.223535
0.200000,5.324890,6.926491,5.442759,1.653199,0.213814,-4.310906,6.130262
0.200000,5.563043,6.904375,5.681938,1.195891,-2.286539,-12.501765,0.030406
0.200000,5.701722,6.937084,5.824422,0.712420,-2.417355,-0.654079,0.503505
0.200000,5.872825,7.094757,6.057095,1.163367,2.254735,23.360449,0.701466
0.200000,6.196774,7.289785,6.435221,1.890629,3.636309,6.907869,0.461857
0.200000,6.398288,7.401769,6.665760,1.152695,-3.689669,-36.629889,0.671420
0.200000,6.385497,7.226060,6.841934,0.880871,-1.359121,11.652743,2.103351
0.200000,6.303748,7.299269,6.951672,0.548693,-1.660891,-1.508850,2.498962
0.200000,6.191197,7.374889,7.087268,0.677978,0.646428,11.536592,2.589545
0.200000,6.122354,7.415723,7.167310,0.400208,-1.388852,-10.176398,2.621331
0.200000,6.101552,7.427530,7.191229,0.119598,-1.403050,-0.070992,2.629203
0.200000,6.101552,7.427530,7.191229,0.000000,-0.597989,4.025307,2.629203
