dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.035033,7.565187,0.037500,0.375000,1.875000,9.375000,6.271164
0.200000,0.147470,7.561654,0.150000,0.750000,1.875000,0.000000,6.232631
0.200000,0.334325,7.546456,0.337500,1.125000,1.875000,0.000000,6.172328
0.200000,0.593856,7.507489,0.600000,1.500000,1.875000,0.000000,6.098160
0.200000,0.886539,7.441900,0.900000,1.500000,0.000000,-9.375000,6.030488
0.200000,1.174957,7.359453,1.200000,1.500000,0.000000,0.000000,5.982297
0.200000,1.460018,7.265997,1.500000,1.500000,0.000000,0.000000,5.953712
0.200000,1.743271,7.167169,1.800000,1.500000,0.000000,0.000000,5.944464
0.200000,2.026559,7.068439,2.100000,1.500000,0.000000,0.000000,5.954413
0.200000,2.311718,6.975284,2.400000,1.500000,0.000000,0.000000,5.983708
0.200000,2.600281,6.893348,2.700000,1.500000,0.000000,0.000000,6.032616
0.200000,2.893125,6.828485,3.000000,1.500000,0.000000,0.000000,6.100984
0.200000,3.187847,6.783380,3.300000,1.500000,0.000000,0.000000,6.138726
0.200000,3.484636,6.739607,3.600000,1.500000,0.000000,0.000000,6.137478
0.200000,3.781715,6.697869,3.900000,1.500000,0.000000,0.000000,6.152438
0.200000,4.079670,6.663005,4.200000,1.500000,0.000000,0.000000,6.183693
0.200000,4.378752,6.639910,4.500000,1.500000,0.000000,0.000000,6.231240
0.200000,4.678632,6.633448,4.800000,1.500000,0.000000,0.000000,0.011405
0.200000,4.977244,6.638989,5.100000,1.500000,0.000000,0.000000,6.223535
0.200000,5.274621,6.600342,5.400000,1.500000,0.000000,0.000000,6.130262
0.200000,5.573075,6.574527,5.700000,1.500000,0.000000,0.000000,0.030406
0.200000,5.860946,6.648038,6.000000,1.500000,0.000000,0.000000,0.503505
0.200000,6.085786,6.842670,6.300000,1.500000,0.000000,0.000000,0.701466
0.200000,6.343825,6.994361,6.600000,1.500000,0.000000,0.000000,0.461857
0.200000,6.603580,7.143399,6.900000,1.500000,0.000000,0.000000,0.671420
0.200000,6.669796,7.393612,7.189017,1.390168,-0.549160,-2.745799,2.103351
0.200000,6.501518,7.563442,7.429550,1.015168,-1.875000,-6.629201,2.498962
0.200000,6.364259,7.655869,7.595084,0.640168,-1.875000,0.000000,2.589545
0.200000,6.286400,7.702060,7.685618,0.265168,-1.875000,0.000000,2.621331
0.200000,6.263338,7.715150,7.712134,0.000000,-1.325840,2.745799,2.629203
0.200000,6.263338,7.715150,7.712134,0.000000,0.000000,6.629201,2.629203
