dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.031066,7.235211,0.037500,0.375000,1.875000,9.375000,6.271164
0.200000,0.130795,7.232075,0.137278,0.498889,0.619444,-6.277781,6.232631
0.200000,0.297817,7.218481,0.304852,0.837873,1.694920,5.377378,6.172328
0.200000,0.533145,7.183122,0.542822,1.189850,1.759888,0.324841,6.098160
0.200000,0.804034,7.122380,0.820437,1.388075,0.991121,-3.843832,6.030488
0.200000,1.077156,7.044279,1.104507,1.420348,0.161366,-4.148777,5.982297
0.200000,1.353249,6.953747,1.395064,1.452785,0.162187,0.004106,5.953712
0.200000,1.633619,6.855919,1.692011,1.484736,0.159752,-0.012176,5.944464
0.200000,1.920008,6.756114,1.995293,1.516409,0.158366,-0.006932,5.954413
0.200000,2.214361,6.659972,2.304949,1.548282,0.159364,0.004994,5.983708
0.200000,2.518455,6.573654,2.621057,1.580540,0.161291,0.009632,6.032616
0.200000,2.833330,6.503948,2.943555,1.612492,0.159761,-0.007649,6.100984
0.200000,3.140340,6.456817,3.254162,1.553034,-0.297291,-2.285257,6.138726
0.200000,3.436723,6.413104,3.553750,1.497942,-0.275460,0.109154,6.137478
0.200000,3.738692,6.370686,3.858684,1.524669,0.133635,2.045475,6.152438
0.200000,4.046892,6.334637,4.168986,1.551507,0.134191,0.002781,6.183693
0.200000,4.361617,6.310355,4.484646,1.578303,0.133983,-0.001042,6.231240
0.200000,4.682395,6.303469,4.805498,1.604260,0.129784,-0.020993,0.011405
0.200000,4.957571,6.309576,5.080742,1.376217,-1.140216,-6.349998,6.223535
0.200000,5.224353,6.274193,5.349860,1.345590,-0.153134,4.935410,6.130262
0.200000,5.583108,6.244680,5.709827,1.799834,2.271219,12.121764,0.030406
0.200000,6.020171,6.358992,6.161591,2.258822,2.294937,0.118588,0.503505
0.200000,6.298748,6.590584,6.523862,1.811356,-2.237328,-22.661322,0.701466
0.200000,6.490877,6.698936,6.744438,1.102880,-3.542379,-6.525254,0.461857
0.200000,6.808872,6.885029,7.112883,1.842223,3.696716,36.195476,0.671420
0.200000,6.954095,7.561165,7.804439,3.457781,8.077788,21.905356,2.103351
0.200000,6.699288,7.827614,8.173114,1.843377,-8.072020,-80.749036,2.498962
0.200000,6.537322,7.936848,8.368474,0.976797,-4.332902,18.695586,2.589545
0.200000,6.450445,7.988397,8.469493,0.505097,-2.358499,9.872016,2.621331
0.200000,6.425125,8.002770,8.498608,0.145576,-1.797603,2.804484,2.629203
0.200000,6.425125,8.002770,8.498608,0.000000,-0.727881,5.348607,2.629203
