dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.040914,7.895060,0.037500,0.375000,1.875000,9.375000,6.266598
0.200000,0.170832,7.889435,0.167539,0.650196,1.375982,-2.495089,6.213402
0.200000,0.384857,7.865235,0.382928,1.076945,2.133744,3.788811,6.128694
0.200000,0.675397,7.803821,0.679889,1.484801,2.039278,-0.472329,6.023855
0.200000,0.990510,7.703454,1.010600,1.653555,0.843770,-5.977544,5.930426
0.200000,1.287343,7.582726,1.331044,1.602223,-0.256657,-5.502136,5.868315
0.200000,1.568902,7.452656,1.641196,1.550758,-0.257330,-0.003361,5.837515
0.200000,1.839318,7.322594,1.941263,1.500338,-0.252100,0.026149,5.837310
0.200000,2.102478,7.200836,2.231225,1.449811,-0.252633,-0.002668,5.867694
0.200000,2.361349,7.095188,2.510825,1.397999,-0.259060,-0.032134,5.929378
0.200000,2.617712,7.013030,2.780032,1.346032,-0.259833,-0.003865,6.022397
0.200000,2.900600,6.940210,3.072142,1.460551,0.572597,4.162151,6.039707
0.200000,3.187244,6.871447,3.366917,1.473878,0.066631,-2.529829,6.055529
0.200000,3.475378,6.806902,3.662192,1.476375,0.012484,-0.270733,6.069840
0.200000,3.764852,6.746164,3.957970,1.478890,0.012579,0.000471,6.082628
0.200000,4.055532,6.688813,4.254254,1.481416,0.012628,0.000246,6.093886
0.200000,4.347294,6.634422,4.551042,1.483945,0.012643,0.000079,6.103613
0.200000,4.640030,6.582559,4.848337,1.486472,0.012636,-0.000036,6.111809
0.200000,4.927989,6.535367,5.140137,1.459002,-0.137348,-0.749923,6.132132
0.200000,5.220336,6.493278,5.435499,1.476806,0.089021,1.131847,6.146181
0.200000,5.517027,6.452950,5.734918,1.497096,0.101448,0.062132,6.147941
0.200000,5.817552,6.410754,6.038391,1.517365,0.101345,-0.000514,6.137413
0.200000,6.121331,6.362919,6.345913,1.537610,0.101226,-0.000593,6.114599
0.200000,6.343302,6.346332,6.568503,1.112952,-2.123289,-11.122574,0.059290
0.200000,6.618722,6.377838,6.845719,1.386080,1.365637,17.444630,0.128152
0.200000,6.969877,6.401261,7.197654,1.759674,1.867971,2.511671,6.252791
0.200000,7.395446,6.301776,7.634696,2.185213,2.127695,1.298617,5.827223
0.200000,7.738501,6.016999,8.080550,2.229268,0.220275,-9.537097,5.373375
0.200000,7.931597,5.665742,8.481383,2.004166,-1.125510,-6.728925,5.059754
0.200000,8.011740,5.321605,8.834729,1.766730,-1.187181,-0.308356,4.837768
0.200000,8.030696,5.068697,9.088346,1.268083,-2.493233,-6.530263,4.748221
0.200000,8.034502,4.913914,9.243176,0.774150,-2.469666,0.117839,4.731010
0.200000,8.035943,4.840972,9.316133,0.364784,-2.046831,2.114172,4.734632
0.200000,8.036353,4.823357,9.333752,0.088096,-1.383438,3.316965,4.736774
0.200000,8.036353,4.823357,9.333752,0.000000,-0.440481,4.714784,4.736774
