dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.029967,7.235151,0.037500,0.375000,1.875000,9.375000,6.266598
0.200000,0.124812,7.231041,0.132434,0.474671,0.498353,-6.883235,6.213402
0.200000,0.283297,7.213096,0.291933,0.797492,1.614108,5.578775,6.128694
0.200000,0.506151,7.165890,0.519731,1.138994,1.707507,0.466994,6.023855
0.200000,0.762488,7.084095,0.788801,1.345351,1.031786,-3.378604,5.930426
0.200000,1.021316,6.978715,1.068260,1.397292,0.259708,-3.860388,5.868315
0.200000,1.284401,6.857123,1.358084,1.449122,0.259149,-0.002798,5.837515
0.200000,1.554694,6.727120,1.658016,1.499661,0.252693,-0.032278,5.837310
0.200000,1.836075,6.596991,1.968031,1.550072,0.252056,-0.003185,5.867694
0.200000,2.132677,6.476068,2.288336,1.601524,0.257259,0.026013,5.929378
0.200000,2.447536,6.375346,2.618912,1.652883,0.256797,-0.002307,6.022397
0.200000,2.741488,6.299676,2.922447,1.517674,-0.676045,-4.664209,6.039707
0.200000,3.038285,6.228477,3.227665,1.526091,0.042084,3.590644,6.055529
0.200000,3.335635,6.161866,3.532385,1.523600,-0.012456,-0.272701,6.069840
0.200000,3.633370,6.099393,3.836603,1.521089,-0.012553,-0.000484,6.082628
0.200000,3.931339,6.040603,4.140317,1.518568,-0.012605,-0.000260,6.093886
0.200000,4.229412,5.985034,4.443525,1.516044,-0.012623,-0.000093,6.103613
0.200000,4.527474,5.932227,4.746229,1.513520,-0.012619,0.000021,6.111809
0.200000,4.828672,5.882882,5.051442,1.526066,0.062730,0.376747,6.132132
0.200000,5.130196,5.839462,5.356076,1.523169,-0.014486,-0.386082,6.146181
0.200000,5.428037,5.798976,5.656657,1.502903,-0.101326,-0.434200,6.147941
0.200000,5.721682,5.757754,5.953181,1.482621,-0.101412,-0.000430,6.137413
0.200000,6.010590,5.712276,6.245646,1.462325,-0.101482,-0.000350,6.114599
0.200000,6.382411,5.687492,6.618292,1.863230,2.004528,10.530052,0.059290
0.200000,6.703071,5.723250,6.940940,1.613241,-1.249944,-16.272364,0.128152
0.200000,6.949819,5.741566,7.188367,1.237135,-1.880533,-3.152944,6.252791
0.200000,7.104830,5.709203,7.346720,0.791763,-2.226856,-1.731614,5.827223
0.200000,7.217506,5.611828,7.495642,0.744611,-0.235764,9.955459,5.373375
0.200000,7.311017,5.441064,7.690334,0.973458,1.144235,6.899998,5.059754
0.200000,7.356920,5.239071,7.897476,1.035714,0.311282,-4.164765,4.837768
0.200000,7.371120,5.045053,8.092013,0.972684,-0.315152,-3.132172,4.748221
0.200000,7.374617,4.901625,8.235484,0.717353,-1.276651,-4.807495,4.731010
0.200000,7.376106,4.826292,8.310831,0.376739,-1.703074,-2.132113,4.734632
0.200000,7.376549,4.807264,8.329864,0.095165,-1.407867,1.476033,4.736774
0.200000,7.376549,4.807264,8.329864,0.000000,-0.475826,4.660208,4.736774
