dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.029967,7.235151,0.037500,0.375000,1.875000,9.375000,6.266598
0.200000,0.124812,7.231041,0.132434,0.474671,0.498353,-6.883235,6.213402
0.200000,0.283297,7.213096,0.291933,0.797492,1.614108,5.578775,6.128694
0.200000,0.506151,7.165890,0.519731,1.138994,1.707507,0.466994,6.023855
0.200000,0.762488,7.084095,0.788801,1.345351,1.031786,-3.378604,5.930426
0.200000,1.021316,6.978715,1.068260,1.397292,0.259708,-3.860388,5.868315
0.200000,1.284401,6.857123,1.358084,1.449122,0.259149,-0.002798,5.837515
0.200000,1.554694,6.727120,1.658016,1.499661,0.252693,-0.032278,5.837310
0.200000,1.836075,6.596991,1.968031,1.550072,0.252056,-0.003185,5.867694
0.200000,2.132677,6.476068,2.288336,1.601524,0.257259,0.026013,5.929378
0.200000,2.447536,6.375346,2.618912,1.652883,0.256797,-0.002307,6.022397
0.200000,2.741488,6.299676,2.922447,1.517674,-0.676045,-4.664209,6.039707
0.200000,3.038285,6.228477,3.227665,1.526091,0.042084,3.590644,6.055529
0.200000,3.335635,6.161866,3.532385,1.523600,-0.012456,-0.272701,6.069840
0.200000,3.633370,6.099393,3.836603,1.521089,-0.012553,-0.000484,6.082628
0.200000,3.931339,6.040603,4.140317,1.518568,-0.012605,-0.000260,6.093886
0.200000,4.229412,5.985034,4.443525,1.516044,-0.012623,-0.000093,6.103613
0.200000,4.527474,5.932227,4.746229,1.513520,-0.012619,0.000021,6.111809
0.200000,4.838175,5.884993,5.060500,1.571353,0.289166,1.508926,6.159681
0.200000,5.144858,5.851945,5.368958,1.542289,-0.145318,-2.172420,6.185338
0.200000,5.438259,5.821901,5.663893,1.474678,-0.338059,-0.963708,6.170000
0.200000,5.716924,5.783269,5.945224,1.406654,-0.340119,-0.010297,6.113541
0.200000,5.978763,5.726254,6.213198,1.339869,-0.333925,0.030967,6.016809
0.200000,6.303707,5.652297,6.546452,1.666270,1.632005,9.829651,6.121397
0.200000,6.561657,5.603179,6.809037,1.312928,-1.766708,-16.993562,6.008453
0.200000,6.705001,5.534388,6.968033,0.794976,-2.589759,-4.115255,5.584853
0.200000,6.788570,5.419078,7.110442,0.712045,-0.414658,10.875503,5.114166
0.200000,6.822626,5.254440,7.278564,0.840614,0.642848,5.287532,4.777268
0.200000,6.822827,5.064188,7.468817,0.951262,0.553240,-0.448042,4.679177
0.200000,6.818183,4.911308,7.621768,0.764754,-0.932544,-7.428918,4.695099
0.200000,6.817961,4.828191,7.704885,0.415585,-1.745844,-4.066503,4.726679
0.200000,6.818364,4.807264,7.725815,0.104653,-1.554658,0.955931,4.736774
0.200000,6.818364,4.807264,7.725815,0.000000,-0.523266,5.156961,4.736774
