dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.040914,7.895060,0.037500,0.375000,1.875000,9.375000,6.266598
0.200000,0.170832,7.889435,0.167539,0.650196,1.375982,-2.495089,6.213402
0.200000,0.384857,7.865235,0.382928,1.076945,2.133744,3.788811,6.128694
0.200000,0.675397,7.803821,0.679889,1.484801,2.039278,-0.472329,6.023855
0.200000,0.990510,7.703454,1.010600,1.653555,0.843770,-5.977544,5.930426
0.200000,1.287343,7.582726,1.331044,1.602223,-0.256657,-5.502136,5.868315
0.200000,1.568902,7.452656,1.641196,1.550758,-0.257330,-0.003361,5.837515
0.200000,1.839318,7.322594,1.941263,1.500338,-0.252100,0.026149,5.837310
0.200000,2.102478,7.200836,2.231225,1.449811,-0.252633,-0.002668,5.867694
0.200000,2.361349,7.095188,2.510825,1.397999,-0.259060,-0.032134,5.929378
0.200000,2.617712,7.013030,2.780032,1.346032,-0.259833,-0.003865,6.022397
0.200000,2.900600,6.940210,3.072142,1.460551,0.572597,4.162151,6.039707
0.200000,3.187244,6.871447,3.366917,1.473878,0.066631,-2.529829,6.055529
0.200000,3.475378,6.806902,3.662192,1.476375,0.012484,-0.270733,6.069840
0.200000,3.764852,6.746164,3.957970,1.478890,0.012579,0.000471,6.082628
0.200000,4.055532,6.688813,4.254254,1.481416,0.012628,0.000246,6.093886
0.200000,4.347294,6.634422,4.551042,1.483945,0.012643,0.000079,6.103613
0.200000,4.640030,6.582559,4.848337,1.486472,0.012636,-0.000036,6.111809
0.200000,4.880363,6.557665,5.089956,1.208096,-1.391881,-7.022588,6.282884
0.200000,5.154747,6.572106,5.364720,1.373820,0.828624,11.102529,0.075963
0.200000,5.481738,6.587429,5.692070,1.636748,1.314638,2.430068,6.275963
0.200000,5.861985,6.540194,6.075239,1.915849,1.395504,0.404331,6.020722
0.200000,6.239345,6.360948,6.493007,2.088837,0.864939,-2.652824,5.656726
0.200000,6.515454,6.095207,6.876222,1.916078,-0.863796,-8.643676,5.397167
0.200000,6.717613,5.779923,7.250752,1.872649,-0.217142,3.233269,5.168836
0.200000,6.840800,5.448699,7.604142,1.766947,-0.528511,-1.556844,4.973569
0.200000,6.895697,5.170556,7.887651,1.417545,-1.747010,-6.092497,4.845778
0.200000,6.914188,4.982267,8.076845,0.945973,-2.357859,-3.054243,4.776989
0.200000,6.919128,4.880415,8.178817,0.509859,-2.180570,0.886444,4.745338
0.200000,6.919983,4.850586,8.208659,0.149207,-1.803259,1.886556,4.736774
0.200000,6.919983,4.850586,8.208659,0.000000,-0.746037,5.286108,4.736774
