dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.035440,7.565106,0.037500,0.375000,1.875000,9.375000,6.266598
0.200000,0.147822,7.560238,0.150000,0.750000,1.875000,0.000000,6.213402
0.200000,0.334077,7.539165,0.337500,1.125000,1.875000,0.000000,6.128694
0.200000,0.590774,7.484855,0.600000,1.500000,1.875000,0.000000,6.023855
0.200000,0.876499,7.393774,0.900000,1.500000,0.000000,-9.375000,5.930426
0.200000,1.154330,7.280721,1.200000,1.500000,0.000000,0.000000,5.868315
0.200000,1.426652,7.154889,1.500000,1.500000,0.000000,0.000000,5.837515
0.200000,1.697006,7.024857,1.800000,1.500000,0.000000,0.000000,5.837310
0.200000,1.969276,6.898914,2.100000,1.500000,0.000000,0.000000,5.867694
0.200000,2.247013,6.785628,2.400000,1.500000,0.000000,0.000000,5.929378
0.200000,2.532624,6.694188,2.700000,1.500000,0.000000,0.000000,6.022397
0.200000,2.821044,6.619943,3.000000,1.500000,0.000000,0.000000,6.039707
0.200000,3.112764,6.549962,3.300000,1.500000,0.000000,0.000000,6.055529
0.200000,3.405507,6.484384,3.600000,1.500000,0.000000,0.000000,6.069840
0.200000,3.699111,6.422779,3.900000,1.500000,0.000000,0.000000,6.082628
0.200000,3.993435,6.364708,4.200000,1.500000,0.000000,0.000000,6.093886
0.200000,4.288353,6.309728,4.500000,1.500000,0.000000,0.000000,6.103613
0.200000,4.583752,6.257393,4.800000,1.500000,0.000000,0.000000,6.111809
0.200000,4.880264,6.227665,5.100000,1.500000,0.000000,0.000000,6.282884
0.200000,5.179791,6.243058,5.400000,1.500000,0.000000,0.000000,0.075963
0.200000,5.479355,6.257437,5.700000,1.500000,0.000000,0.000000,6.275963
0.200000,5.776363,6.221495,6.000000,1.500000,0.000000,0.000000,6.020722
0.200000,6.045873,6.093612,6.300000,1.500000,0.000000,0.000000,5.656726
0.200000,6.259849,5.886482,6.600000,1.500000,0.000000,0.000000,5.397167
0.200000,6.421397,5.634471,6.900000,1.500000,0.000000,0.000000,5.168836
0.200000,6.521992,5.363486,7.189516,1.395157,-0.524217,-2.621083,4.973569
0.200000,6.568629,5.126668,7.431047,1.020157,-1.875000,-6.753917,4.845778
0.200000,6.584877,4.960964,7.597578,0.645157,-1.875000,0.000000,4.776989
0.200000,6.589307,4.869544,7.689110,0.270157,-1.875000,0.000000,4.745338
0.200000,6.590081,4.842539,7.716125,0.000000,-1.350783,2.621083,4.736774
0.200000,6.590081,4.842539,7.716125,0.000000,0.000000,6.753917,4.736774
