dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.035441,7.565234,0.037500,0.375000,1.875000,9.375000,6.273988
0.200000,0.147904,7.562514,0.150000,0.750000,1.875000,0.000000,6.243996
0.200000,0.334997,7.550467,0.337500,1.125000,1.875000,0.000000,6.193742
0.200000,0.595410,7.517863,0.600000,1.500000,1.875000,0.000000,6.123669
0.200000,0.889426,7.458627,0.900000,1.500000,0.000000,-9.375000,6.045588
0.200000,1.178081,7.377158,1.200000,1.500000,0.000000,0.000000,5.971406
0.200000,1.460175,7.275241,1.500000,1.500000,0.000000,0.000000,5.902557
0.200000,1.734970,7.154998,1.800000,1.500000,0.000000,0.000000,5.839963
0.200000,2.002170,7.018686,2.100000,1.500000,0.000000,0.000000,5.784063
0.200000,2.261852,6.868530,2.400000,1.500000,0.000000,0.000000,5.734912
0.200000,2.514386,6.706626,2.700000,1.500000,0.000000,0.000000,5.692306
0.200000,2.754904,6.530094,3.000000,1.500000,0.000000,0.000000,5.608567
0.200000,2.983288,6.335627,3.300000,1.500000,0.000000,0.000000,5.552788
0.200000,3.204013,6.132461,3.600000,1.500000,0.000000,0.000000,5.531290
0.200000,3.423847,5.928324,3.900000,1.500000,0.000000,0.000000,5.543997
0.200000,3.649653,5.730853,4.200000,1.500000,0.000000,0.000000,5.590983
0.200000,3.874823,5.536256,4.500000,1.500000,0.000000,0.000000,5.522702
0.200000,4.085004,5.322251,4.800000,1.500000,0.000000,0.000000,5.464449
0.200000,4.288672,5.101981,5.100000,1.500000,0.000000,0.000000,5.461932
0.200000,4.497760,4.886897,5.400000,1.500000,0.000000,0.000000,5.514895
0.200000,4.723748,4.689835,5.700000,1.500000,0.000000,0.000000,5.627536
0.200000,4.975360,4.527147,6.000000,1.500000,0.000000,0.000000,5.800049
0.200000,5.219972,4.426188,6.265013,1.150131,-1.749346,-8.746731,5.986396
0.200000,5.407396,4.382833,6.457539,0.775131,-1.875000,-0.628269,6.124409
0.200000,5.524066,4.368940,6.575065,0.400131,-1.875000,0.000000,6.204102
0.200000,5.566501,4.366167,6.617592,0.025131,-1.875000,0.000000,6.231625
0.200000,5.569011,4.366040,6.620105,0.000000,-0.125654,8.746731,6.233227
0.200000,5.569011,4.366040,6.620105,0.000000,0.000000,0.628269,6.233227
