dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.032406,7.235248,0.037500,0.375000,1.875000,9.375000,6.273988
0.200000,0.134975,7.232768,0.140099,0.512994,0.689970,-5.925151,6.243996
0.200000,0.305520,7.221786,0.310997,0.854490,1.707482,5.087559,6.193742
0.200000,0.542993,7.192052,0.550324,1.196634,1.710720,0.016190,6.123669
0.200000,0.811755,7.137898,0.824487,1.370818,0.870917,-4.199011,6.045588
0.200000,1.076853,7.063068,1.099944,1.377285,0.032335,-4.192910,5.971406
0.200000,1.337579,6.968859,1.377169,1.386125,0.044200,0.059321,5.902557
0.200000,1.593449,6.856885,1.656467,1.396491,0.051833,0.038165,5.839963
0.200000,1.844213,6.728945,1.937984,1.407581,0.055450,0.018088,5.784063
0.200000,2.089852,6.586900,2.221735,1.418759,0.055887,0.002183,5.734912
0.200000,2.330546,6.432577,2.507654,1.429593,0.054171,-0.008578,5.692306
0.200000,2.548786,6.272382,2.778377,1.353616,-0.379881,-2.170261,5.608567
0.200000,2.763124,6.089807,3.059934,1.407782,0.270830,3.253554,5.552788
0.200000,2.978615,5.891430,3.352833,1.464499,0.283583,0.063766,5.531290
0.200000,3.201530,5.684449,3.657024,1.520954,0.282276,-0.006535,5.543997
0.200000,3.439036,5.476805,3.972500,1.577381,0.282134,-0.000711,5.590983
0.200000,3.647363,5.297170,4.247580,1.375398,-1.009912,-6.460226,5.522702
0.200000,3.844011,5.096814,4.528316,1.403682,0.141417,5.756645,5.464449
0.200000,4.047112,4.877151,4.827485,1.495843,0.460807,1.596946,5.461932
0.200000,4.268440,4.649594,5.144925,1.587201,0.456788,-0.020093,5.514895
0.200000,4.522556,4.428260,5.481917,1.684960,0.488796,0.160039,5.627536
0.200000,4.822056,4.234918,5.838402,1.782422,0.487310,-0.007428,5.800049
0.200000,5.123463,4.110616,6.164434,1.630164,-0.761292,-6.243010,5.986396
0.200000,5.355220,4.056984,6.402316,1.189406,-2.203786,-7.212472,6.124409
0.200000,5.497996,4.039972,6.546102,0.718932,-2.352373,-0.742934,6.204102
0.200000,5.549493,4.036606,6.597709,0.258036,-2.304482,0.239457,6.231625
0.200000,5.552531,4.036451,6.600751,0.015210,-1.214130,5.451757,6.233227
0.200000,5.552531,4.036451,6.600751,0.000000,-0.076048,5.690412,6.233227
