dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.038476,7.895220,0.037500,0.375000,1.875000,9.375000,6.273988
0.200000,0.160833,7.892261,0.159893,0.611964,1.184819,-3.450905,6.243996
0.200000,0.364474,7.879148,0.363955,1.020312,2.041741,4.284609,6.193742
0.200000,0.647828,7.843673,0.649521,1.427828,2.037581,-0.020797,6.123669
0.200000,0.967098,7.779356,0.975205,1.628419,1.002956,-5.173130,6.045588
0.200000,1.279309,7.691249,1.299610,1.622027,-0.031963,-5.174594,5.971406
0.200000,1.582772,7.581624,1.622266,1.613282,-0.043722,-0.058794,5.902557
0.200000,1.876492,7.453112,1.942870,1.603019,-0.051317,-0.037977,5.839963
0.200000,2.160126,7.308427,2.261276,1.592028,-0.054954,-0.018181,5.784063
0.200000,2.433853,7.150161,2.577464,1.580939,-0.055443,-0.002447,5.734912
0.200000,2.698226,6.980674,2.891500,1.570180,-0.053796,0.008235,5.692306
0.200000,2.948743,6.810435,3.194386,1.514431,-0.278745,-1.124745,5.678842
0.200000,3.202689,6.628891,3.506551,1.560823,0.231958,2.553515,5.641926
0.200000,3.454125,6.429219,3.827625,1.605374,0.222756,-0.046011,5.577896
0.200000,3.695754,6.204693,4.157469,1.649217,0.219216,-0.017699,5.487117
0.200000,3.918069,5.950790,4.494946,1.687383,0.190831,-0.141924,5.372995
0.200000,4.116140,5.609162,4.889840,1.974473,1.435448,6.223086,5.074873
0.200000,4.205120,5.250467,5.259407,1.847832,-0.633205,-10.343266,4.861906
0.200000,4.241879,4.940481,5.571564,1.560790,-1.435211,-4.010028,4.824991
0.200000,4.282871,4.686700,5.828636,1.285355,-1.377173,0.290190,4.954536
0.200000,4.355084,4.504139,6.024960,0.981621,-1.518673,-0.707502,5.266275
0.200000,4.473420,4.377380,6.198370,0.867053,-0.572840,4.729166,5.646590
0.200000,4.662935,4.272406,6.415017,1.083232,1.080896,8.268679,5.893282
0.200000,4.888620,4.206290,6.650187,1.175851,0.463095,-3.089002,6.088595
0.200000,5.133165,4.174154,6.896834,1.233238,0.286935,-0.880800,6.202384
0.200000,5.350833,4.161764,7.114854,1.090099,-0.715697,-5.013164,6.242166
0.200000,5.506436,4.155747,7.270573,0.778597,-1.557506,-4.209045,6.243509
0.200000,5.589948,4.152162,7.354163,0.417947,-1.803250,-1.228718,6.236154
0.200000,5.612719,4.151057,7.376960,0.113985,-1.519810,1.417200,6.233227
0.200000,5.612719,4.151057,7.376960,0.000000,-0.569926,4.749420,6.233227
