dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.032406,7.235248,0.037500,0.375000,1.875000,9.375000,6.273988
0.200000,0.134975,7.232768,0.140099,0.512994,0.689970,-5.925151,6.243996
0.200000,0.305520,7.221786,0.310997,0.854490,1.707482,5.087559,6.193742
0.200000,0.542993,7.192052,0.550324,1.196634,1.710720,0.016190,6.123669
0.200000,0.811755,7.137898,0.824487,1.370818,0.870917,-4.199011,6.045588
0.200000,1.076853,7.063068,1.099944,1.377285,0.032335,-4.192910,5.971406
0.200000,1.337579,6.968859,1.377169,1.386125,0.044200,0.059321,5.902557
0.200000,1.593449,6.856885,1.656467,1.396491,0.051833,0.038165,5.839963
0.200000,1.844213,6.728945,1.937984,1.407581,0.055450,0.018088,5.784063
0.200000,2.089852,6.586900,2.221735,1.418759,0.055887,0.002183,5.734912
0.200000,2.330546,6.432577,2.507654,1.429593,0.054171,-0.008578,5.692306
0.200000,2.573717,6.267337,2.801654,1.470001,0.202040,0.739347,5.678842
0.200000,2.807873,6.100005,3.089455,1.439005,-0.154977,-1.785087,5.641926
0.200000,3.026277,5.926679,3.368277,1.394112,-0.224467,-0.347451,5.577896
0.200000,3.224111,5.743009,3.638227,1.349750,-0.221809,0.013292,5.487117
0.200000,3.396919,5.545817,3.900424,1.310984,-0.193832,0.139885,5.372995
0.200000,3.499028,5.375127,4.099324,0.994499,-1.582422,-6.942955,5.074873
0.200000,3.552483,5.152153,4.328616,1.146461,0.759805,11.711138,4.861906
0.200000,3.586059,4.866321,4.616414,1.438988,1.462639,3.514167,4.824991
0.200000,3.642126,4.528440,4.958916,1.712508,1.367601,-0.475189,4.954536
0.200000,3.793762,4.156981,5.360132,2.006083,1.467871,0.501351,5.266275
0.200000,4.081076,3.846658,5.783038,2.114531,0.542244,-4.628135,5.646590
0.200000,4.412070,3.661941,6.162086,1.895241,-1.096454,-8.193491,5.893282
0.200000,4.760999,3.558746,6.525956,1.819347,-0.379467,3.584936,6.088595
0.200000,5.079894,3.516307,6.847662,1.608532,-1.054077,-3.373052,6.202384
0.200000,5.323768,3.502319,7.091936,1.221371,-1.935803,-4.408630,6.242166
0.200000,5.480256,3.496266,7.248542,0.783027,-2.191719,-1.279579,6.243509
0.200000,5.558919,3.492891,7.327277,0.393676,-1.946756,1.224814,6.236154
0.200000,5.579760,3.491881,7.348142,0.104327,-1.446744,2.500064,6.233227
0.200000,5.579760,3.491881,7.348142,0.000000,-0.521635,4.625540,6.233227
