dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.035442,7.565327,0.037500,0.375000,1.875000,9.375000,6.279344
0.200000,0.147935,7.564149,0.150000,0.750000,1.875000,0.000000,6.265802
0.200000,0.335344,7.558495,0.337500,1.125000,1.875000,0.000000,6.239437
0.200000,0.597257,7.541289,0.600000,1.500000,1.875000,0.000000,6.194024
0.200000,0.895030,7.505242,0.900000,1.500000,0.000000,-9.375000,6.128981
0.200000,1.189386,7.447741,1.200000,1.500000,0.000000,0.000000,6.049040
0.200000,1.477568,7.364770,1.500000,1.500000,0.000000,0.000000,5.954302
0.200000,1.755839,7.253063,1.800000,1.500000,0.000000,0.000000,5.846738
0.200000,2.019823,7.110897,2.100000,1.500000,0.000000,0.000000,5.730688
0.200000,2.265272,6.938706,2.400000,1.500000,0.000000,0.000000,5.612358
0.200000,2.489004,6.739091,2.700000,1.500000,0.000000,0.000000,5.498203
0.200000,2.679118,6.512025,3.000000,1.500000,0.000000,0.000000,5.298938
0.200000,2.814500,6.245065,3.300000,1.500000,0.000000,0.000000,5.067625
0.200000,2.890309,5.955263,3.600000,1.500000,0.000000,0.000000,4.879242
0.200000,2.920442,5.656964,3.900000,1.500000,0.000000,0.000000,4.758393
0.200000,2.924398,5.357029,4.200000,1.500000,0.000000,0.000000,4.703069
0.200000,2.920787,5.057052,4.500000,1.500000,0.000000,0.000000,4.707375
0.200000,2.927384,4.757177,4.800000,1.500000,0.000000,0.000000,4.771871
0.200000,2.963029,4.459519,5.100000,1.500000,0.000000,0.000000,4.902875
0.200000,3.047008,4.172022,5.400000,1.500000,0.000000,0.000000,5.100025
0.200000,3.190093,3.911687,5.700000,1.500000,0.000000,0.000000,5.325527
0.200000,3.357168,3.662537,6.000000,1.500000,0.000000,0.000000,5.289103
0.200000,3.521349,3.411453,6.300000,1.500000,0.000000,0.000000,5.302054
0.200000,3.694947,3.166846,6.600000,1.500000,0.000000,0.000000,5.366152
0.200000,3.890310,2.939423,6.900000,1.500000,0.000000,0.000000,5.488375
0.200000,4.117930,2.744654,7.200000,1.500000,0.000000,0.000000,5.672071
0.200000,4.380624,2.601100,7.500000,1.500000,0.000000,0.000000,5.897596
0.200000,4.668951,2.520485,7.800000,1.500000,0.000000,0.000000,6.118833
0.200000,4.965307,2.494041,8.100000,1.500000,0.000000,0.000000,6.196895
0.200000,5.263043,2.457578,8.400000,1.500000,0.000000,0.000000,6.140990
0.200000,5.560299,2.417179,8.700000,1.500000,0.000000,0.000000,6.169113
0.200000,5.859554,2.399331,9.000000,1.500000,0.000000,0.000000,0.016829
0.200000,6.154656,2.445689,9.300000,1.500000,0.000000,0.000000,0.337283
0.200000,6.399314,2.612780,9.600000,1.500000,0.000000,0.000000,0.875105
0.200000,6.533045,2.874419,9.895866,1.458656,-0.206720,-1.033599,1.280340
0.200000,6.580446,3.123816,10.150097,1.083656,-1.875000,-8.341401,1.468008
0.200000,6.590925,3.302689,10.329328,0.708656,-1.875000,0.000000,1.551814
0.200000,6.590884,3.406912,10.433559,0.333656,-1.875000,0.000000,1.589455
0.200000,6.590081,3.440269,10.466925,0.000000,-1.668280,1.033599,1.600200
0.200000,6.590081,3.440269,10.466925,0.000000,0.000000,8.341401,1.600200
