dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034174,7.235330,0.037500,0.375000,1.875000,9.375000,6.279344
0.200000,0.142199,7.234199,0.145530,0.540152,0.825759,-5.246203,6.265802
0.200000,0.320912,7.228810,0.324325,0.893972,1.769102,4.716714,6.239437
0.200000,0.567873,7.212600,0.571817,1.237462,1.717450,-0.258260,6.194024
0.200000,0.844344,7.179157,0.850304,1.392433,0.774854,-4.712979,6.128981
0.200000,1.112823,7.126745,1.123850,1.367733,-0.123501,-4.491779,6.049040
0.200000,1.370982,7.052457,1.392486,1.343180,-0.122765,0.003681,5.954302
0.200000,1.616340,6.953998,1.656862,1.321880,-0.106499,0.081333,5.846738
0.200000,1.846634,6.829995,1.918419,1.307782,-0.070493,0.180030,5.730688
0.200000,2.060132,6.680215,2.179217,1.303992,-0.018948,0.257723,5.612358
0.200000,2.255756,6.505649,2.441403,1.310931,0.034695,0.268212,5.498203
0.200000,2.404276,6.329373,2.671906,1.152512,-0.792097,-4.133956,5.298938
0.200000,2.505104,6.130288,2.895068,1.115813,-0.183495,3.043009,5.067625
0.200000,2.564892,5.900457,3.132548,1.187401,0.357940,2.707174,4.879242
0.200000,2.590791,5.641788,3.392510,1.299808,0.562037,1.020483,4.758393
0.200000,2.594413,5.360105,3.674217,1.408534,0.543631,-0.092029,4.703069
0.200000,2.590791,5.058707,3.975637,1.507100,0.492830,-0.254006,4.707375
0.200000,2.597967,4.737560,4.296864,1.606136,0.495177,0.011737,4.771871
0.200000,2.638998,4.397038,4.639849,1.714922,0.543931,0.243770,4.902875
0.200000,2.741492,4.047282,5.004313,1.822323,0.537005,-0.034631,5.100025
0.200000,2.920204,3.721793,5.375636,1.856616,0.171467,-1.827692,5.325527
0.200000,3.080543,3.482597,5.663600,1.439820,-2.083982,-11.277245,5.289103
0.200000,3.247077,3.227946,5.967871,1.521356,0.407680,12.458311,5.302054
0.200000,3.432993,2.966147,6.288968,1.605485,0.420644,0.064821,5.366152
0.200000,3.654779,2.708285,6.629089,1.700604,0.475598,0.274769,5.488375
0.200000,3.928582,2.474381,6.989199,1.800550,0.499730,0.120658,5.672071
0.200000,4.256510,2.295330,7.362824,1.868125,0.337877,-0.809264,5.897596
0.200000,4.614959,2.194931,7.735068,1.861219,-0.034534,-1.862052,6.118833
0.200000,4.936866,2.165269,8.058340,1.616358,-1.224305,-5.948854,6.196895
0.200000,5.216276,2.130909,8.339854,1.407572,-1.043928,0.901884,6.140990
0.200000,5.522737,2.089324,8.649123,1.546346,0.693870,8.688987,6.169113
0.200000,5.865108,2.069377,8.992075,1.714758,0.842058,0.740940,0.016829
0.200000,6.263861,2.134282,9.396076,2.020005,1.526238,3.420902,0.337283
0.200000,6.652626,2.401277,9.867695,2.358095,1.690448,0.821050,0.875105
0.200000,6.849222,2.779911,10.294325,2.133153,-1.124710,-14.075792,1.280340
0.200000,6.908704,3.089956,10.610024,1.578495,-2.773287,-8.242885,1.468008
0.200000,6.920865,3.296425,10.816851,1.034135,-2.721802,0.257428,1.551814
0.200000,6.920827,3.413070,10.933496,0.583224,-2.254555,2.336235,1.589455
0.200000,6.919938,3.449971,10.970408,0.184561,-1.993316,1.306193,1.600200
0.200000,6.919938,3.449971,10.970408,0.000000,-0.922804,5.352561,1.600200
