dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.036710,7.895325,0.037500,0.375000,1.875000,9.375000,6.279344
0.200000,0.153671,7.894099,0.154468,0.584839,1.049197,-4.129014,6.265802
0.200000,0.349776,7.888179,0.350663,0.980973,1.980669,4.657361,6.239437
0.200000,0.626641,7.869978,0.628125,1.387313,2.031696,0.255133,6.194024
0.200000,0.945716,7.831326,0.949533,1.607038,1.098625,-4.665355,6.128981
0.200000,1.265950,7.768736,1.275826,1.631468,0.122151,-4.882369,6.049040
0.200000,1.584153,7.677083,1.606966,1.655697,0.121147,-0.005022,5.954302
0.200000,1.895337,7.552129,1.942300,1.676671,0.104870,-0.081384,5.846738
0.200000,2.193011,7.391798,2.280406,1.690532,0.069303,-0.177835,5.730688
0.200000,2.470411,7.197198,2.619257,1.694254,0.018610,-0.253465,5.612358
0.200000,2.722252,6.972533,2.956744,1.687438,-0.034076,-0.263431,5.498203
0.200000,2.953960,6.694677,3.318536,1.808957,0.607594,3.208353,5.298938
0.200000,3.123896,6.359843,3.694025,1.877443,0.342430,-1.325824,5.067625
0.200000,3.215726,6.010069,4.055652,1.808139,-0.346523,-3.444763,4.879242
0.200000,3.250093,5.672140,4.395324,1.698360,-0.548893,-1.011851,4.758393
0.200000,3.254384,5.353954,4.713540,1.591077,-0.536415,0.062390,4.703069
0.200000,3.250783,5.055397,5.012118,1.492891,-0.490930,0.227428,4.707375
0.200000,3.256800,4.776794,5.290786,1.393339,-0.497761,-0.034159,4.771871
0.200000,3.287060,4.522000,5.547371,1.282925,-0.552069,-0.271539,4.902875
0.200000,3.352523,4.296763,5.781929,1.172789,-0.550681,0.006943,5.100025
0.200000,3.459714,4.101971,6.004265,1.111683,-0.305530,1.225754,5.326961
0.200000,3.630915,3.863056,6.298188,1.469612,1.789643,10.475866,5.345365
0.200000,3.804409,3.635849,6.584060,1.429360,-0.201258,-9.954506,5.388111
0.200000,3.984605,3.425258,6.861222,1.385814,-0.217730,-0.082362,5.457148
0.200000,4.175018,3.236823,7.129112,1.339447,-0.231836,-0.070531,5.554134
0.200000,4.378079,3.076108,7.388078,1.294831,-0.223077,0.043795,5.677976
0.200000,4.595182,2.947523,7.640402,1.261621,-0.166050,0.285137,5.821786
0.200000,4.826832,2.853387,7.890449,1.250234,-0.056940,0.545550,5.972439
0.200000,5.059439,2.798727,8.129392,1.194716,-0.277585,-1.103228,6.150634
0.200000,5.299652,2.789742,8.369773,1.201906,0.035947,1.567659,0.047124
0.200000,5.558845,2.819084,8.630621,1.304239,0.511667,2.378601,0.165305
0.200000,5.836806,2.874367,8.914027,1.417028,0.563945,0.261390,0.215499
0.200000,6.135229,2.938863,9.219340,1.526565,0.547686,-0.081291,0.199386
0.200000,6.458270,2.991982,9.546719,1.636896,0.551655,0.019841,0.116128
0.200000,6.736215,3.015115,9.825625,1.394527,-1.211848,-8.817514,0.174970
0.200000,6.803599,3.038867,9.897073,0.357242,-5.186421,-19.872865,0.865317
0.200000,6.826885,3.116305,9.977936,0.404316,0.235367,27.108938,1.423342
0.200000,6.835216,3.261337,10.123208,0.726357,1.610205,6.874192,1.569905
0.200000,6.833373,3.370582,10.232467,0.546299,-0.900288,-12.552464,1.598684
0.200000,6.832116,3.413803,10.275707,0.216197,-1.650513,-3.751124,1.600265
0.200000,6.832023,3.416953,10.278859,0.015761,-1.002179,3.241668,1.600200
0.200000,6.832023,3.416953,10.278859,0.000000,-0.078804,4.616875,1.600200
