dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.035442,7.565327,0.037500,0.375000,1.875000,9.375000,6.279344
0.200000,0.147935,7.564149,0.150000,0.750000,1.875000,0.000000,6.265802
0.200000,0.335344,7.558495,0.337500,1.125000,1.875000,0.000000,6.239437
0.200000,0.597257,7.541289,0.600000,1.500000,1.875000,0.000000,6.194024
0.200000,0.895030,7.505242,0.900000,1.500000,0.000000,-9.375000,6.128981
0.200000,1.189386,7.447741,1.200000,1.500000,0.000000,0.000000,6.049040
0.200000,1.477568,7.364770,1.500000,1.500000,0.000000,0.000000,5.954302
0.200000,1.755839,7.253063,1.800000,1.500000,0.000000,0.000000,5.846738
0.200000,2.019823,7.110897,2.100000,1.500000,0.000000,0.000000,5.730688
0.200000,2.265272,6.938706,2.400000,1.500000,0.000000,0.000000,5.612358
0.200000,2.489004,6.739091,2.700000,1.500000,0.000000,0.000000,5.498203
0.200000,2.679118,6.512025,3.000000,1.500000,0.000000,0.000000,5.298938
0.200000,2.814500,6.245065,3.300000,1.500000,0.000000,0.000000,5.067625
0.200000,2.890309,5.955263,3.600000,1.500000,0.000000,0.000000,4.879242
0.200000,2.920442,5.656964,3.900000,1.500000,0.000000,0.000000,4.758393
0.200000,2.924398,5.357029,4.200000,1.500000,0.000000,0.000000,4.703069
0.200000,2.920787,5.057052,4.500000,1.500000,0.000000,0.000000,4.707375
0.200000,2.927384,4.757177,4.800000,1.500000,0.000000,0.000000,4.771871
0.200000,2.963029,4.459519,5.100000,1.500000,0.000000,0.000000,4.902875
0.200000,3.047008,4.172022,5.400000,1.500000,0.000000,0.000000,5.100025
0.200000,3.190097,3.911690,5.700000,1.500000,0.000000,0.000000,5.326961
0.200000,3.364846,3.667845,6.000000,1.500000,0.000000,0.000000,5.345365
0.200000,3.546925,3.429447,6.300000,1.500000,0.000000,0.000000,5.388111
0.200000,3.741972,3.201586,6.600000,1.500000,0.000000,0.000000,5.457148
0.200000,3.955184,2.990707,6.900000,1.500000,0.000000,0.000000,5.554134
0.200000,4.190331,2.804721,7.200000,1.500000,0.000000,0.000000,5.677976
0.200000,4.448265,2.652031,7.500000,1.500000,0.000000,0.000000,5.821786
0.200000,4.725928,2.539192,7.800000,1.500000,0.000000,0.000000,5.972439
0.200000,5.015825,2.471622,8.100000,1.500000,0.000000,0.000000,6.150634
0.200000,5.315198,2.460109,8.400000,1.500000,0.000000,0.000000,0.047124
0.200000,5.613147,2.493583,8.700000,1.500000,0.000000,0.000000,0.165305
0.200000,5.907372,2.552000,9.000000,1.500000,0.000000,0.000000,0.215499
0.200000,6.200592,2.615401,9.300000,1.500000,0.000000,0.000000,0.199386
0.200000,6.496507,2.664205,9.600000,1.500000,0.000000,0.000000,0.116128
0.200000,6.793661,2.690153,9.900000,1.500000,0.000000,0.000000,0.174970
0.200000,7.054829,2.824895,10.200000,1.500000,0.000000,0.000000,0.865317
0.200000,7.153304,3.067821,10.465630,1.156305,-1.718476,-8.592378,1.423342
0.200000,7.165216,3.261043,10.659391,0.781305,-1.875000,-0.782622,1.569905
0.200000,7.163244,3.379783,10.778152,0.406305,-1.875000,0.000000,1.598684
0.200000,7.161972,3.423526,10.821913,0.031305,-1.875000,0.000000,1.600265
0.200000,7.161880,3.426655,10.825044,0.000000,-0.156524,8.592378,1.600200
0.200000,7.161880,3.426655,10.825044,0.000000,0.000000,0.782622,1.600200
