dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034174,7.235330,0.037500,0.375000,1.875000,9.375000,6.279344
0.200000,0.142199,7.234199,0.145530,0.540152,0.825759,-5.246203,6.265802
0.200000,0.320912,7.228810,0.324325,0.893972,1.769102,4.716714,6.239437
0.200000,0.567873,7.212600,0.571817,1.237462,1.717450,-0.258260,6.194024
0.200000,0.844344,7.179157,0.850304,1.392433,0.774854,-4.712979,6.128981
0.200000,1.112823,7.126745,1.123850,1.367733,-0.123501,-4.491779,6.049040
0.200000,1.370982,7.052457,1.392486,1.343180,-0.122765,0.003681,5.954302
0.200000,1.616340,6.953998,1.656862,1.321880,-0.106499,0.081333,5.846738
0.200000,1.846634,6.829995,1.918419,1.307782,-0.070493,0.180030,5.730688
0.200000,2.060132,6.680215,2.179217,1.303992,-0.018948,0.257723,5.612358
0.200000,2.255756,6.505649,2.441403,1.310931,0.034695,0.268212,5.498203
0.200000,2.404276,6.329373,2.671906,1.152512,-0.792097,-4.133956,5.298938
0.200000,2.505104,6.130288,2.895068,1.115813,-0.183495,3.043009,5.067625
0.200000,2.564892,5.900457,3.132548,1.187401,0.357940,2.707174,4.879242
0.200000,2.590791,5.641788,3.392510,1.299808,0.562037,1.020483,4.758393
0.200000,2.594413,5.360105,3.674217,1.408534,0.543631,-0.092029,4.703069
0.200000,2.590791,5.058707,3.975637,1.507100,0.492830,-0.254006,4.707375
0.200000,2.597967,4.737560,4.296864,1.606136,0.495177,0.011737,4.771871
0.200000,2.638998,4.397038,4.639849,1.714922,0.543931,0.243770,4.902875
0.200000,2.741492,4.047282,5.004313,1.822323,0.537005,-0.034631,5.100025
0.200000,2.920480,3.721409,5.376106,1.858966,0.183213,-1.768960,5.326961
0.200000,3.098777,3.472635,5.682175,1.530345,-1.643102,-9.131576,5.345365
0.200000,3.289440,3.223045,5.996257,1.570410,0.200327,9.217144,5.388111
0.200000,3.499339,2.977914,6.318975,1.613589,0.215894,0.077835,5.457148
0.200000,3.735351,2.744591,6.650850,1.659376,0.228932,0.065191,5.554134
0.200000,4.002583,2.533335,6.991500,1.703247,0.219357,-0.047877,5.677976
0.200000,4.301349,2.356539,7.338657,1.735785,0.162688,-0.283342,5.821786
0.200000,4.625024,2.224997,7.688040,1.746919,0.055674,-0.535069,5.972439
0.200000,4.972211,2.144517,8.044434,1.781965,0.175229,0.597773,6.150634
0.200000,5.330743,2.130475,8.403240,1.794032,0.060331,-0.574488,0.047124
0.200000,5.667450,2.168081,8.742041,1.694004,-0.500136,-2.802338,0.165305
0.200000,5.977938,2.229633,9.058570,1.582648,-0.556780,-0.283217,0.215499
0.200000,6.265954,2.291939,9.353249,1.473393,-0.546275,0.052520,0.199386
0.200000,6.534743,2.336427,9.625695,1.362229,-0.555824,-0.047741,0.116128
0.200000,6.851107,2.365192,9.943364,1.588344,1.130578,8.432011,0.174970
0.200000,7.306058,2.610924,10.460437,2.585369,4.985122,19.272719,0.865317
0.200000,7.479723,3.019338,10.904240,2.219015,-1.831768,-34.084452,1.423342
0.200000,7.495216,3.260749,11.146148,1.209539,-5.047382,-16.078071,1.569905
0.200000,7.493116,3.388985,11.274402,0.641269,-2.841346,11.030181,1.598684
0.200000,7.491829,3.433249,11.318685,0.221413,-2.099280,3.710329,1.600265
0.200000,7.491738,3.436357,11.321793,0.015544,-1.029346,5.349674,1.600200
0.200000,7.491738,3.436357,11.321793,0.000000,-0.077720,4.758126,1.600200
