dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.036710,7.895325,0.037500,0.375000,1.875000,9.375000,6.279344
0.200000,0.153671,7.894099,0.154468,0.584839,1.049197,-4.129014,6.265802
0.200000,0.349776,7.888179,0.350663,0.980973,1.980669,4.657361,6.239437
0.200000,0.626641,7.869978,0.628125,1.387313,2.031696,0.255133,6.194024
0.200000,0.945716,7.831326,0.949533,1.607038,1.098625,-4.665355,6.128981
0.200000,1.265950,7.768736,1.275826,1.631468,0.122151,-4.882369,6.049040
0.200000,1.584153,7.677083,1.606966,1.655697,0.121147,-0.005022,5.954302
0.200000,1.895337,7.552129,1.942300,1.676671,0.104870,-0.081384,5.846738
0.200000,2.193011,7.391798,2.280406,1.690532,0.069303,-0.177835,5.730688
0.200000,2.470411,7.197198,2.619257,1.694254,0.018610,-0.253465,5.612358
0.200000,2.722252,6.972533,2.956744,1.687438,-0.034076,-0.263431,5.498203
0.200000,2.953960,6.694677,3.318536,1.808957,0.607594,3.208353,5.298938
0.200000,3.123896,6.359843,3.694025,1.877443,0.342430,-1.325824,5.067625
0.200000,3.215726,6.010069,4.055652,1.808139,-0.346523,-3.444763,4.879242
0.200000,3.250093,5.672140,4.395324,1.698360,-0.548893,-1.011851,4.758393
0.200000,3.254384,5.353954,4.713540,1.591077,-0.536415,0.062390,4.703069
0.200000,3.250783,5.055397,5.012118,1.492891,-0.490930,0.227428,4.707375
0.200000,3.256800,4.776794,5.290786,1.393339,-0.497761,-0.034159,4.771871
0.200000,3.287060,4.522000,5.547371,1.282925,-0.552069,-0.271539,4.902875
0.200000,3.352523,4.296763,5.781929,1.172789,-0.550681,0.006943,5.100025
0.200000,3.459573,4.102174,6.004019,1.110451,-0.311688,1.194964,5.327711
0.200000,3.628892,3.873990,6.288162,1.420714,1.551313,9.315005,5.375681
0.200000,3.807837,3.657934,6.568700,1.402689,-0.090124,-8.207184,5.434534
0.200000,3.997760,3.456584,6.845489,1.383947,-0.093712,-0.017942,5.504697
0.200000,4.199664,3.272654,7.118611,1.365610,-0.091683,0.010144,5.585918
0.200000,4.414098,3.108759,7.388507,1.349478,-0.080663,0.055101,5.676861
0.200000,4.641092,2.967135,7.656057,1.337753,-0.058624,0.110197,5.774868
0.200000,4.880122,2.849365,7.922526,1.332343,-0.027051,0.157862,5.876132
0.200000,5.127086,2.757676,8.185960,1.317172,-0.075851,-0.244000,5.980819
0.200000,5.385757,2.691237,8.453027,1.335335,0.090814,0.833324,6.080281
0.200000,5.654408,2.648105,8.725119,1.360458,0.125614,0.174004,6.164607
0.200000,5.931405,2.624886,9.003087,1.389843,0.146926,0.106560,6.231213
0.200000,6.215368,2.617430,9.287149,1.420307,0.152316,0.026950,6.279428
0.200000,6.505387,2.621156,9.577191,1.450214,0.149535,-0.013905,0.026383
0.200000,6.777928,2.633524,9.850013,1.364107,-0.430531,-2.900333,0.101935
0.200000,7.001395,2.678767,10.078014,1.140005,-1.120514,-3.449916,0.318773
0.200000,7.172674,2.765169,10.269851,0.959188,-0.904084,1.082154,0.643964
0.200000,7.288395,2.893477,10.442635,0.863917,-0.476352,2.138657,1.026185
0.200000,7.357214,3.062307,10.624953,0.911589,0.238361,3.573564,1.316361
0.200000,7.384966,3.226303,10.791281,0.831639,-0.399750,-3.190554,1.478253
0.200000,7.390897,3.344283,10.909409,0.590643,-1.204985,-4.026172,1.559380
0.200000,7.390564,3.403155,10.968283,0.294367,-1.481378,-1.381967,1.592885
0.200000,7.390208,3.416953,10.982085,0.069013,-1.126768,1.773051,1.600200
0.200000,7.390208,3.416953,10.982085,0.000000,-0.345067,3.908506,1.600200
