dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.034174,7.235330,0.037500,0.375000,1.875000,9.375000,6.279344
0.200000,0.142199,7.234199,0.145530,0.540152,0.825759,-5.246203,6.265802
0.200000,0.320912,7.228810,0.324325,0.893972,1.769102,4.716714,6.239437
0.200000,0.567873,7.212600,0.571817,1.237462,1.717450,-0.258260,6.194024
0.200000,0.844344,7.179157,0.850304,1.392433,0.774854,-4.712979,6.128981
0.200000,1.112823,7.126745,1.123850,1.367733,-0.123501,-4.491779,6.049040
0.200000,1.370982,7.052457,1.392486,1.343180,-0.122765,0.003681,5.954302
0.200000,1.616340,6.953998,1.656862,1.321880,-0.106499,0.081333,5.846738
0.200000,1.846634,6.829995,1.918419,1.307782,-0.070493,0.180030,5.730688
0.200000,2.060132,6.680215,2.179217,1.303992,-0.018948,0.257723,5.612358
0.200000,2.255756,6.505649,2.441403,1.310931,0.034695,0.268212,5.498203
0.200000,2.404276,6.329373,2.671906,1.152512,-0.792097,-4.133956,5.298938
0.200000,2.505104,6.130288,2.895068,1.115813,-0.183495,3.043009,5.067625
0.200000,2.564892,5.900457,3.132548,1.187401,0.357940,2.707174,4.879242
0.200000,2.590791,5.641788,3.392510,1.299808,0.562037,1.020483,4.758393
0.200000,2.594413,5.360105,3.674217,1.408534,0.543631,-0.092029,4.703069
0.200000,2.590791,5.058707,3.975637,1.507100,0.492830,-0.254006,4.707375
0.200000,2.597967,4.737560,4.296864,1.606136,0.495177,0.011737,4.771871
0.200000,2.638998,4.397038,4.639849,1.714922,0.543931,0.243770,4.902875
0.200000,2.741492,4.047282,5.004313,1.822323,0.537005,-0.034631,5.100025
0.200000,2.920625,3.721208,5.376352,1.860195,0.189358,-1.738234,5.327711
0.200000,3.108832,3.467619,5.692152,1.578998,-1.405982,-7.976703,5.375681
0.200000,3.312580,3.221677,6.011527,1.596878,0.089398,7.476900,5.434534
0.200000,3.534306,2.986680,6.334615,1.615437,0.092798,0.017002,5.504697
0.200000,3.775861,2.766698,6.661327,1.633564,0.090635,-0.010815,5.585918
0.200000,4.037997,2.566405,6.991225,1.649487,0.079614,-0.055104,5.676861
0.200000,4.319864,2.390582,7.323434,1.661045,0.057788,-0.109131,5.774868
0.200000,4.618825,2.243292,7.656709,1.666373,0.026642,-0.155729,5.876132
0.200000,4.930551,2.127617,7.989204,1.662480,-0.019468,-0.230552,5.980819
0.200000,5.252757,2.044777,8.321890,1.663426,0.004730,0.120991,6.080281
0.200000,5.576329,1.992739,8.649620,1.638652,-0.123870,-0.643000,6.164607
0.200000,5.897119,1.965777,8.971540,1.609601,-0.145252,-0.106909,6.231213
0.200000,6.212889,1.957434,9.287421,1.579402,-0.150995,-0.028717,6.279428
0.200000,6.522798,1.961386,9.597355,1.549672,-0.148650,0.011727,0.026383
0.200000,6.845089,1.976950,9.920021,1.613332,0.318297,2.334733,0.101935
0.200000,7.208240,2.052017,10.290850,1.854143,1.204057,4.428799,0.318773
0.200000,7.568918,2.237353,10.696359,2.027546,0.867015,-1.685208,0.643964
0.200000,7.852912,2.551540,11.119876,2.117584,0.450189,-2.084130,1.026185
0.200000,7.995966,2.896186,11.493031,1.865777,-1.259031,-8.546101,1.316361
0.200000,8.042142,3.165312,11.766090,1.365294,-2.502417,-6.216930,1.478253
0.200000,8.050854,3.336748,11.937748,0.858288,-2.535032,-0.163075,1.559380
0.200000,8.050403,3.417732,12.018733,0.404927,-2.266803,1.341147,1.592885
0.200000,8.049923,3.436357,12.037364,0.093153,-1.558872,3.539657,1.600200
0.200000,8.049923,3.436357,12.037364,0.000000,-0.465763,5.465543,1.600200
