dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.084723,6.719362,0.037500,0.375000,1.875000,9.375000,4.650604
0.200000,6.072207,6.586127,0.171322,0.669109,1.470544,-2.022280,4.585921
0.200000,6.030040,6.362433,0.398955,1.138165,2.345283,4.373694,4.463877
0.200000,5.920152,6.055709,0.724769,1.629073,2.454539,0.546281,4.270467
0.200000,5.724174,5.739076,1.097145,1.861879,1.164028,-6.452555,4.048818
0.200000,5.477529,5.478298,1.456086,1.794706,-0.335864,-7.499461,3.868730
0.200000,5.209929,5.269480,1.795520,1.697168,-0.487690,-0.759126,3.748612
0.200000,4.940006,5.096006,2.116380,1.604302,-0.464327,0.116812,3.685235
0.200000,4.677847,4.941329,2.420769,1.521944,-0.411790,0.262688,3.671927
0.200000,4.430980,4.792157,2.709205,1.442179,-0.398827,0.064813,3.706924
0.200000,4.211057,4.640642,2.976269,1.335318,-0.534303,-0.677382,3.793028
0.200000,4.038785,4.480986,3.211147,1.174392,-0.804631,-1.351640,3.989215
0.200000,3.902664,4.291041,3.444830,1.168415,-0.029885,3.873730,4.188988
0.200000,3.800394,4.070233,3.688173,1.216713,0.241491,1.356880,4.359775
0.200000,3.727496,3.821998,3.946890,1.293586,0.384365,0.714371,4.484367
0.200000,3.677053,3.552477,4.221091,1.371006,0.387100,0.013674,4.562335
0.200000,3.640189,3.266929,4.509008,1.439586,0.342898,-0.221009,4.598900
0.200000,3.606918,2.968393,4.809393,1.501923,0.311689,-0.156045,4.597734
0.200000,3.566040,2.658217,5.122251,1.564292,0.311843,0.000768,4.558709
0.200000,3.504158,2.337574,5.448811,1.632796,0.342523,0.153403,4.477956
0.200000,3.404857,2.010429,5.790695,1.709420,0.383120,0.202984,4.350328
0.200000,3.251000,1.688560,6.147446,1.783759,0.371693,-0.057136,4.176992
0.200000,3.034186,1.394224,6.513017,1.827853,0.220470,-0.756115,3.976423
0.200000,2.764571,1.150064,6.876757,1.818698,-0.045776,-1.331228,3.781519
0.200000,2.486156,0.969465,7.208616,1.659296,-0.797009,-3.756168,3.676526
0.200000,2.204493,0.814623,7.530035,1.607096,-0.261000,2.680049,3.611447
0.200000,1.912296,0.678462,7.852399,1.611822,0.023630,1.423150,3.543488
0.200000,1.610756,0.562547,8.175451,1.615260,0.017188,-0.032210,3.473434
0.200000,1.301426,0.468115,8.498875,1.617117,0.009288,-0.039502,3.402246
0.200000,0.986133,0.395955,8.822320,1.617225,0.000540,-0.043740,3.330993
0.200000,0.668607,0.346552,9.143666,1.606729,-0.052484,-0.265118,3.261127
0.200000,0.391045,0.321551,9.422351,1.393429,-1.066498,-5.070072,3.201990
0.200000,0.193532,0.313667,9.620022,0.988354,-2.025375,-4.794385,3.161161
0.200000,0.076519,0.312765,9.737038,0.585079,-2.016374,0.045006,3.137501
0.200000,0.038133,0.313070,9.775426,0.191938,-1.965709,0.253326,3.129828
0.200000,0.038133,0.313070,9.775426,0.000000,-0.959688,5.030105,3.129828
