dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.425983,6.760114,0.037500,0.375000,1.875000,9.375000,4.650604
0.200000,5.417478,6.669373,0.128638,0.455691,0.403454,-7.357731,4.585921
0.200000,5.390315,6.524768,0.275772,0.735670,1.399898,4.982219,4.463877
0.200000,5.323557,6.337977,0.474135,0.991815,1.280726,-0.595860,4.270467
0.200000,5.204227,6.145592,0.700523,1.131937,0.700606,-2.900597,4.048818
0.200000,5.038805,5.971371,0.940767,1.201222,0.346429,-1.770888,3.868730
0.200000,4.833450,5.811572,1.200972,1.301024,0.499009,0.762903,3.748612
0.200000,4.598617,5.660855,1.480011,1.395192,0.470840,-0.140846,3.685235
0.200000,4.344004,5.510670,1.775616,1.478029,0.414184,-0.283279,3.671927
0.200000,4.077421,5.349469,2.087149,1.557664,0.398174,-0.080050,3.706924
0.200000,3.810880,5.165484,2.411023,1.619371,0.308533,-0.448205,3.793028
0.200000,3.543976,4.917752,2.775177,1.820771,1.007000,3.492335,3.989215
0.200000,3.331023,4.620928,3.140491,1.826567,0.028981,-4.890098,4.188988
0.200000,3.181001,4.298165,3.496416,1.779624,-0.234713,-1.318469,4.359775
0.200000,3.084579,3.971192,3.837309,1.704469,-0.375777,-0.705317,4.484367
0.200000,3.024470,3.651141,4.162956,1.628233,-0.381182,-0.027024,4.562335
0.200000,2.984435,3.341671,4.475005,1.560246,-0.339935,0.206234,4.598900
0.200000,2.951252,3.043899,4.774620,1.498075,-0.310855,0.145401,4.597734
0.200000,2.913819,2.759247,5.061723,1.435516,-0.312792,-0.009690,4.558709
0.200000,2.862212,2.490887,5.335001,1.366386,-0.345650,-0.164290,4.477956
0.200000,2.787645,2.244202,5.592708,1.288539,-0.389236,-0.217929,4.350328
0.200000,2.683356,2.025280,5.835202,1.212468,-0.380354,0.044411,4.176992
0.200000,2.545005,1.837284,6.068619,1.167084,-0.226919,0.767173,3.976423
0.200000,2.370461,1.679476,6.303926,1.176534,0.047248,1.370835,3.781519
0.200000,2.149699,1.537264,6.566528,1.313010,0.682378,3.175653,3.676526
0.200000,1.905673,1.403101,6.845002,1.392374,0.396823,-1.427777,3.611447
0.200000,1.654128,1.285874,7.122522,1.387600,-0.023869,-2.103462,3.543488
0.200000,1.395739,1.186540,7.399348,1.384126,-0.017370,0.032499,3.473434
0.200000,1.131336,1.105821,7.675798,1.382249,-0.009388,0.039907,3.402246
0.200000,0.861874,1.044152,7.952225,1.382140,-0.000545,0.044214,3.330993
0.200000,0.589902,1.001842,8.227469,1.376219,-0.029603,-0.145288,3.261127
0.200000,0.351207,0.980348,8.467130,1.198303,-0.889581,-4.299892,3.201990
0.200000,0.180617,0.973541,8.637855,0.853628,-1.723373,-4.168960,3.161161
0.200000,0.079219,0.972760,8.739256,0.507005,-1.733117,-0.048717,3.137501
0.200000,0.045897,0.973024,8.772580,0.166617,-1.701939,0.155891,3.129828
0.200000,0.045897,0.973024,8.772580,0.000000,-0.833086,4.344265,3.129828
