dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.126458,6.824043,0.037500,0.375000,1.875000,9.375000,4.652692
0.200000,6.112503,6.684791,0.177449,0.699744,1.623719,-1.256403,4.569394
0.200000,6.052845,6.438575,0.430789,1.266703,2.834795,6.055377,4.368582
0.200000,5.836988,6.093469,0.837842,2.035266,3.842815,5.040100,3.919978
0.200000,5.443088,5.866626,1.292391,2.272744,1.187393,-13.277110,3.437901
0.200000,5.084761,5.800920,1.656693,1.821509,-2.256178,-17.217855,3.241232
0.200000,4.785646,5.775360,1.956899,1.501028,-1.602402,3.268882,3.240591
0.200000,4.553727,5.735357,2.192242,1.176716,-1.621563,-0.095807,3.435441
0.200000,4.429725,5.669948,2.332438,0.700978,-2.378686,-3.785614,3.915622
0.200000,4.328517,5.517086,2.515767,0.916649,1.078352,17.285192,4.259941
0.200000,4.258464,5.307877,2.736393,1.103129,0.932402,-0.729750,4.498862
0.200000,4.224494,5.055988,2.990562,1.270846,0.838583,-0.469095,4.637130
0.200000,4.210810,4.769141,3.277736,1.435867,0.825103,-0.067401,4.675940
0.200000,4.192904,4.451610,3.595771,1.590177,0.771554,-0.267744,4.621160
0.200000,4.136393,4.105082,3.946877,1.755530,0.826765,0.276055,4.465203
0.200000,3.998717,3.748455,4.329157,1.911398,0.779336,-0.237143,4.212757
0.200000,3.778717,3.446736,4.702566,1.867047,-0.221754,-5.005453,3.978459
0.200000,3.529021,3.206223,5.049256,1.733449,-0.667989,-2.231174,3.836085
0.200000,3.244590,3.003428,5.398580,1.746620,0.065854,3.669216,3.685616
0.200000,2.934752,2.845830,5.746195,1.738078,-0.042711,-0.542825,3.540397
0.200000,2.611632,2.733957,6.088134,1.709693,-0.141924,-0.496065,3.412604
0.200000,2.285368,2.661955,6.422249,1.670575,-0.195592,-0.268343,3.308769
0.200000,1.962010,2.621033,6.748186,1.629683,-0.204456,-0.044320,3.229917
0.200000,1.666818,2.603118,7.043921,1.478678,-0.755027,-2.752857,3.177463
0.200000,1.438006,2.598380,7.272782,1.144303,-1.671873,-4.584226,3.148830
0.200000,1.289230,2.598338,7.421558,0.743882,-2.002109,-1.651182,3.135624
0.200000,1.218221,2.598939,7.492570,0.355057,-1.944124,0.289924,3.130800
0.200000,1.201941,2.599122,7.508850,0.081402,-1.368272,2.879261,3.129828
0.200000,1.201941,2.599122,7.508850,0.000000,-0.407012,4.806301,3.129828
