dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.797046,6.843731,0.037500,0.375000,1.875000,9.375000,4.652692
0.200000,5.785871,6.731819,0.150000,0.750000,1.875000,0.000000,4.569394
0.200000,5.742157,6.549810,0.337500,1.125000,1.875000,0.000000,4.368582
0.200000,5.605285,6.328445,0.600000,1.500000,1.875000,0.000000,3.919978
0.200000,5.346731,6.182245,0.900000,1.500000,0.000000,-9.375000,3.437901
0.200000,5.051935,6.129283,1.200000,1.500000,0.000000,0.000000,3.241232
0.200000,4.753029,6.103744,1.500000,1.500000,0.000000,0.000000,3.240591
0.200000,4.458147,6.051212,1.800000,1.500000,0.000000,0.000000,3.435441
0.200000,4.199048,5.905931,2.100000,1.500000,0.000000,0.000000,3.915622
0.200000,4.031721,5.661352,2.400000,1.500000,0.000000,0.000000,4.259941
0.200000,3.935959,5.377807,2.700000,1.500000,0.000000,0.000000,4.498862
0.200000,3.895428,5.080800,3.000000,1.500000,0.000000,0.000000,4.637130
0.200000,3.881029,4.781167,3.300000,1.500000,0.000000,0.000000,4.675940
0.200000,3.864276,4.481674,3.600000,1.500000,0.000000,0.000000,4.621160
0.200000,3.816423,4.185825,3.900000,1.500000,0.000000,0.000000,4.465203
0.200000,3.709057,3.906558,4.200000,1.500000,0.000000,0.000000,4.212757
0.200000,3.533676,3.667767,4.500000,1.500000,0.000000,0.000000,3.978459
0.200000,3.317823,3.459788,4.800000,1.500000,0.000000,0.000000,3.836085
0.200000,3.073787,3.285787,5.100000,1.500000,0.000000,0.000000,3.685616
0.200000,2.806607,3.149933,5.400000,1.500000,0.000000,0.000000,3.540397
0.200000,2.523289,3.051912,5.700000,1.500000,0.000000,0.000000,3.412604
0.200000,2.230456,2.987355,6.000000,1.500000,0.000000,0.000000,3.308769
0.200000,1.932901,2.949747,6.300000,1.500000,0.000000,0.000000,3.229917
0.200000,1.654983,2.932906,6.578460,1.284598,-1.077012,-5.385059,3.177463
0.200000,1.435618,2.928371,6.797879,0.909598,-1.875000,-3.989941,3.148830
0.200000,1.291199,2.928332,6.942299,0.534598,-1.875000,0.000000,3.135624
0.200000,1.221782,2.928919,7.011718,0.159598,-1.875000,0.000000,3.130800
0.200000,1.205824,2.929100,7.027678,0.000000,-0.797988,5.385059,3.129828
0.200000,1.205824,2.929100,7.027678,0.000000,0.000000,3.989941,3.129828
