dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.467633,6.863419,0.037500,0.375000,1.875000,9.375000,4.652692
0.200000,5.459239,6.778847,0.122488,0.424941,0.249707,-8.126466,4.569394
0.200000,5.431469,6.661044,0.243520,0.605160,0.901094,3.256938,4.368582
0.200000,5.373582,6.563421,0.357015,0.567474,-0.188430,-5.447625,3.919978
0.200000,5.250374,6.497864,0.496578,0.697816,0.651709,4.200697,3.437901
0.200000,5.019108,6.457646,0.731315,1.173685,2.379344,8.638178,3.241232
0.200000,4.720413,6.432128,1.031098,1.498915,1.626151,-3.765967,3.240591
0.200000,4.362567,6.367067,1.394811,1.818565,1.598250,-0.139503,3.435441
0.200000,3.968371,6.141914,1.848777,2.269827,2.256308,3.290290,3.915622
0.200000,3.734926,5.805618,2.258156,2.046896,-1.114652,-16.854803,4.259941
0.200000,3.613453,5.447737,2.636090,1.889672,-0.786121,1.642656,4.498862
0.200000,3.566362,5.105612,2.981440,1.726749,-0.814614,-0.142466,4.637130
0.200000,3.551248,4.793192,3.294226,1.563929,-0.814103,0.002556,4.675940
0.200000,3.535648,4.511738,3.576112,1.409432,-0.772485,0.208092,4.621160
0.200000,3.496454,4.266569,3.824395,1.241412,-0.840098,-0.338067,4.465203
0.200000,3.419396,4.064662,4.040506,1.080556,-0.804279,0.179094,4.212757
0.200000,3.288635,3.888799,4.259655,1.095747,0.075952,4.401157,3.978459
0.200000,3.106625,3.713353,4.512457,1.264009,0.841314,3.826810,3.836085
0.200000,2.902985,3.568146,4.762566,1.250542,-0.067338,-4.543261,3.685616
0.200000,2.678463,3.454037,5.014421,1.259278,0.043680,0.555091,3.540397
0.200000,2.434946,3.369868,5.272073,1.288261,0.144917,0.506184,3.412604
0.200000,2.175544,3.312754,5.537689,1.328076,0.199075,0.270788,3.308769
0.200000,1.903792,3.278460,5.811596,1.369539,0.207313,0.041190,3.229917
0.200000,1.643148,3.262694,6.072716,1.305601,-0.319690,-2.635011,3.177463
0.200000,1.433229,3.258363,6.282680,1.049817,-1.278920,-4.796149,3.148830
0.200000,1.293169,3.258326,6.422740,0.700303,-1.747567,-2.343239,3.135624
0.200000,1.225344,3.258900,6.490568,0.339138,-1.805827,-0.291299,3.130800
0.200000,1.209706,3.259077,6.506207,0.078195,-1.304713,2.505571,3.129828
0.200000,1.209706,3.259077,6.506207,0.000000,-0.390976,4.568682,3.129828
