dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.451698,7.086528,0.037500,0.375000,1.875000,9.375000,3.145787
0.200000,5.339207,7.085192,0.150000,0.750000,1.875000,0.000000,3.161783
0.200000,5.151846,7.078246,0.337500,1.125000,1.875000,0.000000,3.197547
0.200000,4.890474,7.054587,0.600000,1.500000,1.875000,0.000000,3.271471
0.200000,4.596134,6.997721,0.900000,1.500000,0.000000,-9.375000,3.403502
0.200000,4.315544,6.893044,1.200000,1.500000,0.000000,0.000000,3.607499
0.200000,4.069001,6.723874,1.500000,1.500000,0.000000,0.000000,3.888982
0.200000,3.883445,6.489617,1.800000,1.500000,0.000000,0.000000,4.191826
0.200000,3.769388,6.212966,2.100000,1.500000,0.000000,0.000000,4.437989
0.200000,3.714975,5.918320,2.400000,1.500000,0.000000,0.000000,4.610647
0.200000,3.698808,5.624066,2.700000,1.500000,0.000000,0.000000,4.651781
0.200000,3.665058,5.326124,3.000000,1.500000,0.000000,0.000000,4.541263
0.200000,3.592496,5.035344,3.300000,1.500000,0.000000,0.000000,4.385371
0.200000,3.467676,4.763192,3.600000,1.500000,0.000000,0.000000,4.168563
0.200000,3.280557,4.529873,3.900000,1.500000,0.000000,0.000000,3.898812
0.200000,3.037213,4.355960,4.200000,1.500000,0.000000,0.000000,3.631842
0.200000,2.759160,4.244775,4.500000,1.500000,0.000000,0.000000,3.424059
0.200000,2.465824,4.183070,4.800000,1.500000,0.000000,0.000000,3.283975
0.200000,2.167267,4.154684,5.100000,1.500000,0.000000,0.000000,3.196094
0.200000,1.867405,4.146694,5.400000,1.500000,0.000000,0.000000,3.145714
0.200000,1.599810,4.148806,5.667609,1.176086,-1.619570,-8.097848,3.125161
0.200000,1.402126,4.152456,5.865326,0.801086,-1.875000,-1.277152,3.122885
0.200000,1.279427,4.154551,5.988043,0.426086,-1.875000,0.000000,3.126838
0.200000,1.231714,4.155194,6.035760,0.051086,-1.875000,0.000000,3.129505
0.200000,1.226606,4.155255,6.040869,0.000000,-0.255430,8.097848,3.129828
0.200000,1.226606,4.155255,6.040869,0.000000,0.000000,1.277152,3.129828
