dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.450314,7.416525,0.037500,0.375000,1.875000,9.375000,3.145787
0.200000,5.332545,7.415125,0.155277,0.588886,1.069431,-4.027843,3.161783
0.200000,5.133391,7.407730,0.354569,0.996458,2.037856,4.842124,3.197547
0.200000,4.847735,7.381808,0.641398,1.434149,2.188455,0.752996,3.271471
0.200000,4.510689,7.316467,0.984719,1.716605,1.412280,-3.880878,3.403502
0.200000,4.167298,7.187871,1.351400,1.833403,0.583991,-4.141445,3.607499
0.200000,3.844691,6.965917,1.742984,1.957923,0.622600,0.193045,3.888982
0.200000,3.597157,6.653748,2.141384,1.991999,0.170383,-2.261083,4.191826
0.200000,3.451734,6.302386,2.521652,1.901339,-0.453301,-3.118419,4.437989
0.200000,3.386682,5.951837,2.878186,1.782669,-0.593350,-0.700247,4.610647
0.200000,3.369414,5.644054,3.186453,1.541333,-1.206682,-3.066661,4.651781
0.200000,3.339878,5.382320,3.449848,1.316977,-1.121777,0.424525,4.541263
0.200000,3.279985,5.141347,3.698153,1.241525,-0.377259,3.722591,4.385371
0.200000,3.185283,4.933938,3.926159,1.140029,-0.507481,-0.651112,4.168563
0.200000,3.053879,4.769700,4.136495,1.051680,-0.441745,0.328681,3.898812
0.200000,2.881834,4.647092,4.347759,1.056320,0.023200,2.324726,3.631842
0.200000,2.667180,4.561697,4.578774,1.155077,0.493787,2.352937,3.424059
0.200000,2.418997,4.509730,4.832340,1.267829,0.563759,0.349856,3.283975
0.200000,2.149291,4.484194,5.103253,1.354562,0.433664,-0.650475,3.196094
0.200000,1.866045,4.476691,5.386597,1.416724,0.310811,-0.614264,3.145714
0.200000,1.605232,4.478762,5.647419,1.304107,-0.563086,-4.369483,3.125161
0.200000,1.408299,4.482398,5.844385,0.984831,-1.596379,-5.166468,3.122885
0.200000,1.284296,4.484515,5.968407,0.620109,-1.823613,-1.136166,3.126838
0.200000,1.235703,4.485170,6.017004,0.242987,-1.885609,-0.309984,3.129505
0.200000,1.230488,4.485232,6.022219,0.026077,-1.084549,4.005300,3.129828
0.200000,1.230488,4.485232,6.022219,0.000000,-0.130384,4.770827,3.129828
