dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.461278,6.756238,0.037500,0.375000,1.875000,9.375000,3.170815
0.200000,5.384043,6.750039,0.114983,0.387414,0.062072,-9.064641,3.276817
0.200000,5.270345,6.722640,0.231936,0.584764,0.986746,4.623369,3.489922
0.200000,5.134413,6.646124,0.387924,0.779941,0.975885,-0.054303,3.810601
0.200000,4.988567,6.490432,0.601257,1.066666,1.433630,2.288723,4.071399
0.200000,4.845067,6.268477,0.865560,1.321517,1.274255,-0.796876,4.179183
0.200000,4.688831,6.004116,1.172638,1.535387,1.069349,-1.024526,4.157708
0.200000,4.483735,5.718486,1.524275,1.758185,1.113989,0.223198,4.000111
0.200000,4.180014,5.456632,1.925291,2.005080,1.234477,0.602437,3.689018
0.200000,3.881797,5.301450,2.261468,1.680885,-1.620976,-14.277260,3.569774
0.200000,3.573405,5.178599,2.593429,1.659804,-0.105408,7.577838,3.472526
0.200000,3.257527,5.085813,2.922652,1.646115,-0.068443,0.184827,3.383643
0.200000,2.938811,5.020376,3.248016,1.626823,-0.096460,-0.140086,3.306535
0.200000,2.620714,4.978108,3.568910,1.604467,-0.111782,-0.076610,3.243059
0.200000,2.305395,4.954189,3.885134,1.581124,-0.116716,-0.024673,3.193796
0.200000,1.993965,4.943757,4.196739,1.558024,-0.115496,0.006102,3.158581
0.200000,1.701768,4.942129,4.488941,1.461007,-0.485088,-1.847960,3.137718
0.200000,1.465941,4.944158,4.724776,1.179179,-1.409141,-4.620263,3.129559
0.200000,1.307464,4.946196,4.883267,0.792451,-1.933638,-2.622489,3.128510
0.200000,1.224623,4.947250,4.966114,0.414238,-1.891062,0.212882,3.129407
0.200000,1.201941,4.947522,4.988797,0.113415,-1.504119,1.934717,3.129828
0.200000,1.201941,4.947522,4.988797,0.000000,-0.567074,4.685226,3.129828
