dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.451636,7.086097,0.037500,0.375000,1.875000,9.375000,3.170815
0.200000,5.339555,7.077027,0.150000,0.750000,1.875000,0.000000,3.276817
0.200000,5.157707,7.032821,0.337500,1.125000,1.875000,0.000000,3.489922
0.200000,4.929744,6.904989,0.600000,1.500000,1.875000,0.000000,3.810601
0.200000,4.724071,6.687768,0.900000,1.500000,0.000000,-9.375000,4.071399
0.200000,4.560877,6.436215,1.200000,1.500000,0.000000,0.000000,4.179183
0.200000,4.408308,6.177917,1.500000,1.500000,0.000000,0.000000,4.157708
0.200000,4.233966,5.934161,1.800000,1.500000,0.000000,0.000000,4.000111
0.200000,4.008252,5.738408,2.100000,1.500000,0.000000,0.000000,3.689018
0.200000,3.744775,5.601659,2.400000,1.500000,0.000000,0.000000,3.569774
0.200000,3.466179,5.490693,2.700000,1.500000,0.000000,0.000000,3.472526
0.200000,3.178429,5.406193,3.000000,1.500000,0.000000,0.000000,3.383643
0.200000,2.884626,5.345897,3.300000,1.500000,0.000000,0.000000,3.306535
0.200000,2.587287,5.306410,3.600000,1.500000,0.000000,0.000000,3.243059
0.200000,2.288176,5.283740,3.900000,1.500000,0.000000,0.000000,3.193796
0.200000,1.988359,5.273709,4.200000,1.500000,0.000000,0.000000,3.158581
0.200000,1.703046,5.272126,4.485322,1.353220,-0.733902,-3.669512,3.137718
0.200000,1.469912,5.274135,4.718466,0.978220,-1.875000,-5.705488,3.129559
0.200000,1.311781,5.276168,4.876610,0.603220,-1.875000,0.000000,3.128510
0.200000,1.228644,5.277226,4.959754,0.228220,-1.875000,0.000000,3.129407
0.200000,1.205824,5.277499,4.982576,0.000000,-1.141098,3.669512,3.129828
0.200000,1.205824,5.277499,4.982576,0.000000,0.000000,5.705488,3.129828
