dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.441993,7.415956,0.037500,0.375000,1.875000,9.375000,3.170815
0.200000,5.295067,7.404014,0.184911,0.737057,1.810283,-0.323586,3.276817
0.200000,5.045069,7.343003,0.442246,1.286676,2.748095,4.689061,3.489922
0.200000,4.725075,7.163853,0.808976,1.833649,2.734868,-0.066136,3.810601
0.200000,4.459574,6.885105,1.193932,1.924779,0.455652,-11.396081,4.071399
0.200000,4.276687,6.603953,1.529334,1.677009,-1.238853,-8.472522,4.179183
0.200000,4.127786,6.351719,1.822239,1.464524,-1.062423,0.882150,4.157708
0.200000,3.984198,6.149835,2.069978,1.238694,-1.129149,-0.333630,4.000111
0.200000,3.836490,6.020184,2.266515,0.982686,-1.280043,-0.754473,3.689018
0.200000,3.607753,5.901867,2.524041,1.287630,1.524720,14.023820,3.569774
0.200000,3.358953,5.802787,2.791843,1.339012,0.256911,-6.339047,3.472526
0.200000,3.099330,5.726573,3.062422,1.352895,0.069416,-0.937473,3.383643
0.200000,2.830442,5.671419,3.336909,1.372432,0.097686,0.141346,3.306535
0.200000,2.553861,5.634713,3.615915,1.395029,0.112982,0.076481,3.243059
0.200000,2.270956,5.613290,3.899629,1.418573,0.117719,0.023688,3.193796
0.200000,1.982753,5.603662,4.187993,1.441820,0.116238,-0.007405,3.158581
0.200000,1.704325,5.602124,4.466425,1.392161,-0.248297,-1.822678,3.137718
0.200000,1.473883,5.604111,4.696876,1.152254,-1.199534,-4.756186,3.129559
0.200000,1.316098,5.606140,4.854674,0.788988,-1.816329,-3.083974,3.128510
0.200000,1.232665,5.607201,4.938114,0.417201,-1.858938,-0.213042,3.129407
0.200000,1.209706,5.607476,4.961075,0.114805,-1.511979,1.734794,3.129828
0.200000,1.209706,5.607476,4.961075,0.000000,-0.574024,4.689774,3.129828
