dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.454394,7.086650,0.037500,0.375000,1.875000,9.375000,3.138447
0.200000,5.341898,7.087615,0.150000,0.750000,1.875000,0.000000,3.127656
0.200000,5.154448,7.091844,0.337500,1.125000,1.875000,0.000000,3.110609
0.200000,4.892186,7.102894,0.600000,1.500000,1.875000,0.000000,3.088759
0.200000,4.592809,7.122113,0.900000,1.500000,0.000000,-9.375000,3.066735
0.200000,4.293885,7.147445,1.200000,1.500000,0.000000,0.000000,3.047905
0.200000,3.995440,7.177920,1.500000,1.500000,0.000000,0.000000,3.032297
0.200000,3.697449,7.212568,1.800000,1.500000,0.000000,0.000000,3.019920
0.200000,3.399848,7.250422,2.100000,1.500000,0.000000,0.000000,3.010773
0.200000,3.102540,7.290517,2.400000,1.500000,0.000000,0.000000,3.004848
0.200000,2.805407,7.331894,2.700000,1.500000,0.000000,0.000000,3.002139
0.200000,2.508320,7.373600,3.000000,1.500000,0.000000,0.000000,3.002643
0.200000,2.211146,7.414678,3.300000,1.500000,0.000000,0.000000,3.006360
0.200000,1.913758,7.454173,3.600000,1.500000,0.000000,0.000000,3.013295
0.200000,1.616043,7.491125,3.900000,1.500000,0.000000,0.000000,3.023454
0.200000,1.317916,7.524569,4.200000,1.500000,0.000000,0.000000,3.036845
0.200000,1.019321,7.553535,4.500000,1.500000,0.000000,0.000000,3.053465
0.200000,0.720249,7.577054,4.800000,1.500000,0.000000,0.000000,3.073301
0.200000,0.448351,7.592876,5.072363,1.223631,-1.381844,-6.909221,3.094066
0.200000,0.241284,7.600932,5.279589,0.848631,-1.875000,-2.465779,3.111593
0.200000,0.109097,7.604115,5.411816,0.473631,-1.875000,0.000000,3.123542
0.200000,0.051877,7.604996,5.469042,0.098631,-1.875000,0.000000,3.128895
0.200000,0.042015,7.605116,5.478905,0.000000,-0.493156,6.909221,3.129828
0.200000,0.042015,7.605116,5.478905,0.000000,0.000000,2.465779,3.129828
