dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.455432,7.416649,0.037500,0.375000,1.875000,9.375000,3.138447
0.200000,5.346497,7.417583,0.146439,0.544693,0.848465,-5.132677,3.127656
0.200000,5.164671,7.421686,0.328311,0.909361,1.823342,4.874385,3.110609
0.200000,4.909613,7.432433,0.583595,1.276422,1.835305,0.059815,3.088759
0.200000,4.617489,7.451189,0.876321,1.463630,0.936038,-4.496334,3.066735
0.200000,4.324756,7.475998,1.170103,1.468909,0.026396,-4.548207,3.047905
0.200000,4.031435,7.505951,1.464949,1.474232,0.026616,0.001101,3.032297
0.200000,3.737502,7.540129,1.760863,1.479569,0.026683,0.000335,3.019920
0.200000,3.442895,7.577602,2.057843,1.484901,0.026662,-0.000109,3.010773
0.200000,3.147525,7.617436,2.355888,1.490222,0.026602,-0.000299,3.004848
0.200000,2.851278,7.658691,2.654994,1.495530,0.026542,-0.000300,3.002139
0.200000,2.554026,7.700419,2.955160,1.500831,0.026506,-0.000179,3.002643
0.200000,2.255637,7.741665,3.256386,1.506132,0.026505,-0.000004,3.006360
0.200000,1.955980,7.781461,3.558674,1.511440,0.026538,0.000161,3.013295
0.200000,1.654938,7.818825,3.862026,1.516757,0.026588,0.000250,3.023454
0.200000,1.352419,7.852760,4.166442,1.522083,0.026627,0.000198,3.036845
0.200000,1.048365,7.882255,4.471923,1.527405,0.026614,-0.000064,3.053465
0.200000,0.742768,7.906285,4.778464,1.532704,0.026494,-0.000602,3.073301
0.200000,0.464029,7.922503,5.057675,1.396053,-0.683258,-3.548758,3.094066
0.200000,0.251182,7.930784,5.270682,1.065037,-1.655078,-4.859102,3.111593
0.200000,0.115053,7.934061,5.406851,0.680843,-1.920972,-1.329467,3.123542
0.200000,0.056068,7.934969,5.465843,0.294964,-1.929396,-0.042122,3.128895
0.200000,0.045897,7.935093,5.476015,0.050856,-1.220537,3.544295,3.129828
0.200000,0.045897,7.935093,5.476015,0.000000,-0.254281,4.831281,3.129828
