dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.970572,7.707274,0.037500,0.375000,1.875000,9.375000,5.755327
0.200000,7.076435,7.643195,0.161247,0.618733,1.218666,-3.281669,5.721227
0.200000,7.253201,7.522368,0.375362,1.070577,2.259217,5.202755,5.640401
0.200000,7.501460,7.294088,0.712622,1.686301,3.078623,4.097028,5.411639
0.200000,7.681244,6.773047,1.263809,2.755932,5.348152,11.347648,4.602142
0.200000,7.427799,6.316293,1.786168,2.611795,-0.720682,-30.344173,3.893483
0.200000,7.143845,6.101037,2.142489,1.781608,-4.150936,-17.151268,3.721476
0.200000,6.888927,5.938888,2.444607,1.510588,-1.355098,13.979189,3.715049
0.200000,6.650983,5.771175,2.735717,1.455549,-0.275197,5.399504,3.735374
0.200000,6.311415,5.600178,3.115910,1.900964,2.227077,12.511373,3.489426
0.200000,5.972005,5.509130,3.467320,1.757052,-0.719564,-14.733207,3.332532
0.200000,5.657298,5.459898,3.785854,1.592670,-0.821910,-0.511727,3.276234
0.200000,5.373280,5.418173,4.072921,1.435334,-0.786677,0.176163,3.315366
0.200000,5.126117,5.359520,4.326947,1.270134,-0.826001,-0.196622,3.454061
0.200000,4.923025,5.268718,4.549414,1.112335,-0.788995,0.185031,3.687460
0.200000,4.740391,5.126885,4.780654,1.156199,0.219319,5.041569,3.879214
0.200000,4.567338,4.944609,5.031994,1.256700,0.502507,1.415939,4.025980
0.200000,4.419991,4.736716,5.286809,1.274073,0.086863,-2.078218,4.162305
0.200000,4.296656,4.505626,5.548752,1.309716,0.178218,0.456774,4.277191
0.200000,4.194126,4.255089,5.819456,1.353523,0.219034,0.204079,4.365696
0.200000,4.107945,3.989184,6.098979,1.397615,0.220460,0.007130,4.427613
0.200000,4.032810,3.711412,6.386733,1.438770,0.205774,-0.073427,4.464672
0.200000,3.962918,3.424389,6.682143,1.477049,0.191398,-0.071883,4.478574
0.200000,3.892054,3.129992,6.984949,1.514027,0.184889,-0.032542,4.470070
0.200000,3.813437,2.829774,7.295290,1.551707,0.188401,0.017558,4.438694
0.200000,3.719479,2.525591,7.613654,1.591820,0.200561,0.060801,4.382920
0.200000,3.601720,2.220554,7.940632,1.634890,0.215350,0.073945,4.300890
0.200000,3.451483,1.920312,8.276365,1.678665,0.218875,0.017626,4.192105
0.200000,3.261956,1.634070,8.619665,1.716499,0.189174,-0.148509,4.060136
0.200000,3.031503,1.373694,8.967377,1.738564,0.110322,-0.394258,3.914618
0.200000,2.765576,1.149773,9.315023,1.738229,-0.001674,-0.559980,3.769305
0.200000,2.490467,0.972022,9.642560,1.637686,-0.502713,-2.505195,3.677516
0.200000,2.208975,0.816902,9.963963,1.607014,-0.153361,1.746760,3.612488
0.200000,1.916935,0.680437,10.286315,1.611757,0.023716,0.885388,3.544568
0.200000,1.615530,0.564195,10.609358,1.615218,0.017301,-0.032074,3.474539
0.200000,1.306308,0.469420,10.932779,1.617102,0.009420,-0.039408,3.403361
0.200000,0.991093,0.396909,11.256226,1.617237,0.000679,-0.043705,3.332101
0.200000,0.672988,0.347080,11.578209,1.609917,-0.036601,-0.186399,3.262076
0.200000,0.394185,0.321742,11.858162,1.399763,-1.050771,-5.070850,3.202647
0.200000,0.195415,0.313704,12.057094,0.994661,-2.025512,-4.873708,3.161545
0.200000,0.077146,0.312763,12.175367,0.591362,-2.016493,0.045096,3.137627
0.200000,0.038133,0.313070,12.214381,0.195073,-1.981444,0.175247,3.129828
0.200000,0.038133,0.313070,12.214381,0.000000,-0.975366,5.030390,3.129828
