dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.804356,7.422191,0.037500,0.375000,1.875000,9.375000,5.755327
0.200000,6.900597,7.363945,0.150000,0.750000,1.875000,0.000000,5.721227
0.200000,7.055390,7.258227,0.337500,1.125000,1.875000,0.000000,5.640401
0.200000,7.248903,7.081686,0.600000,1.500000,1.875000,0.000000,5.411639
0.200000,7.353248,6.809355,0.900000,1.500000,0.000000,-9.375000,4.602142
0.200000,7.202402,6.557325,1.200000,1.500000,0.000000,0.000000,3.893483
0.200000,6.963029,6.377090,1.500000,1.500000,0.000000,0.000000,3.721476
0.200000,6.709890,6.216098,1.800000,1.500000,0.000000,0.000000,3.715049
0.200000,6.466349,6.044689,2.100000,1.500000,0.000000,0.000000,3.735374
0.200000,6.198931,5.910415,2.400000,1.500000,0.000000,0.000000,3.489426
0.200000,5.909377,5.833133,2.700000,1.500000,0.000000,0.000000,3.332532
0.200000,5.613001,5.786911,3.000000,1.500000,0.000000,0.000000,3.276234
0.200000,5.316223,5.743203,3.300000,1.500000,0.000000,0.000000,3.315366
0.200000,5.024672,5.673541,3.600000,1.500000,0.000000,0.000000,3.454061
0.200000,4.751702,5.550761,3.900000,1.500000,0.000000,0.000000,3.687460
0.200000,4.518456,5.371108,4.200000,1.500000,0.000000,0.000000,3.879214
0.200000,4.312074,5.153751,4.500000,1.500000,0.000000,0.000000,4.025980
0.200000,4.138673,4.909226,4.800000,1.500000,0.000000,0.000000,4.162305
0.200000,3.997416,4.644751,5.100000,1.500000,0.000000,0.000000,4.277191
0.200000,3.883761,4.367220,5.400000,1.500000,0.000000,0.000000,4.365696
0.200000,3.791236,4.081895,5.700000,1.500000,0.000000,0.000000,4.427613
0.200000,3.712883,3.792325,6.000000,1.500000,0.000000,0.000000,4.464672
0.200000,3.641898,3.500847,6.300000,1.500000,0.000000,0.000000,4.478574
0.200000,3.571695,3.209177,6.600000,1.500000,0.000000,0.000000,4.470070
0.200000,3.495720,2.918970,6.900000,1.500000,0.000000,0.000000,4.438694
0.200000,3.407228,2.632359,7.200000,1.500000,0.000000,0.000000,4.382920
0.200000,3.299267,2.352548,7.500000,1.500000,0.000000,0.000000,4.300890
0.200000,3.165149,2.084363,7.800000,1.500000,0.000000,0.000000,4.192105
0.200000,2.999699,1.834373,8.100000,1.500000,0.000000,0.000000,4.060136
0.200000,2.801062,1.609909,8.400000,1.500000,0.000000,0.000000,3.914618
0.200000,2.571769,1.416866,8.700000,1.500000,0.000000,0.000000,3.769305
0.200000,2.321957,1.255755,9.000000,1.500000,0.000000,0.000000,3.677516
0.200000,2.059260,1.110986,9.300000,1.500000,0.000000,0.000000,3.612488
0.200000,1.787523,0.984003,9.600000,1.500000,0.000000,0.000000,3.544568
0.200000,1.507676,0.876073,9.900000,1.500000,0.000000,0.000000,3.474539
0.200000,1.220907,0.788178,10.200000,1.500000,0.000000,0.000000,3.403361
0.200000,0.928605,0.720938,10.500000,1.500000,0.000000,0.000000,3.332101
0.200000,0.633325,0.674688,10.798941,1.489412,-0.052942,-0.264710,3.262076
0.200000,0.374049,0.651127,11.059323,1.114412,-1.875000,-9.110290,3.202647
0.200000,0.188831,0.643638,11.244706,0.739412,-1.875000,0.000000,3.161545
0.200000,0.078455,0.642760,11.355088,0.364412,-1.875000,0.000000,3.137627
0.200000,0.042015,0.643047,11.391529,0.000000,-1.822058,0.264710,3.129828
0.200000,0.042015,0.643047,11.391529,0.000000,0.000000,9.110290,3.129828
