dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.638140,7.137108,0.037500,0.375000,1.875000,9.375000,5.755327
0.200000,6.724758,7.084694,0.138742,0.506211,0.656053,-6.094736,5.721227
0.200000,6.857580,6.994085,0.299527,0.803923,1.488560,4.162536,5.640401
0.200000,6.996346,6.869283,0.486158,0.933158,0.646180,-4.211902,5.411639
0.200000,7.025251,6.845662,0.523488,0.186647,-3.732558,-21.893686,4.602142
0.200000,6.977005,6.798356,0.591057,0.337844,0.755987,22.442724,3.893483
0.200000,6.782213,6.653144,0.834019,1.214810,4.384830,18.144214,3.721476
0.200000,6.530852,6.493308,1.131894,1.489378,1.372840,-15.059949,3.715049
0.200000,6.281714,6.318204,1.436412,1.522591,0.166062,-6.033893,3.735374
0.200000,6.086446,6.220653,1.654691,1.091394,-2.155981,-11.610214,3.489426
0.200000,5.846749,6.157135,1.902661,1.239850,0.742280,14.491306,3.332532
0.200000,5.568703,6.113925,2.184045,1.406917,0.835334,0.465269,3.276234
0.200000,5.259166,6.068233,2.496936,1.564457,0.787698,-0.238178,3.315366
0.200000,4.923228,5.987562,2.842425,1.727444,0.814934,0.136182,3.454061
0.200000,4.580379,5.832805,3.218583,1.880790,0.766733,-0.241007,3.687460
0.200000,4.296521,5.615331,3.576172,1.787946,-0.464221,-6.154769,3.879214
0.200000,4.056810,5.362893,3.924291,1.740593,-0.236766,1.137276,4.025980
0.200000,3.857354,5.081737,4.269010,1.723597,-0.084978,0.758938,4.162305
0.200000,3.698176,4.783876,4.606736,1.688629,-0.174842,-0.449318,4.277191
0.200000,3.573395,4.479350,4.935835,1.645496,-0.215666,-0.204119,4.365696
0.200000,3.474527,4.174606,5.256216,1.601905,-0.217952,-0.011431,4.427613
0.200000,3.392956,3.873238,5.568428,1.561058,-0.204236,0.068582,4.464672
0.200000,3.320877,3.577304,5.873013,1.522926,-0.190659,0.067881,4.478574
0.200000,3.251337,3.288362,6.170206,1.485964,-0.184814,0.029229,4.470070
0.200000,3.178003,3.008166,6.459840,1.448169,-0.188973,-0.020797,4.438694
0.200000,3.094977,2.739127,6.741398,1.407791,-0.201890,-0.064586,4.382920
0.200000,2.996815,2.484543,7.014251,1.364268,-0.217618,-0.078638,4.300890
0.200000,2.878815,2.248415,7.278222,1.319853,-0.222075,-0.022286,4.192105
0.200000,2.737442,2.034676,7.534485,1.281315,-0.192686,0.146945,4.060136
0.200000,2.570622,1.846123,7.786241,1.258779,-0.112681,0.400025,3.914618
0.200000,2.377962,1.683959,8.038064,1.259116,0.001685,0.571828,3.769305
0.200000,2.153448,1.539488,8.305045,1.334904,0.378938,1.886265,3.677516
0.200000,1.909544,1.405069,8.583536,1.392457,0.287767,-0.455853,3.612488
0.200000,1.658111,1.287570,8.861070,1.387666,-0.023958,-1.558626,3.544568
0.200000,1.399823,1.187950,9.137903,1.384169,-0.017484,0.032371,3.474539
0.200000,1.135507,1.106936,9.414356,1.382265,-0.009521,0.039812,3.403361
0.200000,0.866116,1.044968,9.690782,1.382127,-0.000686,0.044175,3.332101
0.200000,0.593661,1.002295,9.966558,1.378883,-0.016221,-0.077676,3.262076
0.200000,0.353913,0.980512,10.207294,1.203677,-0.876032,-4.299053,3.202647
0.200000,0.182247,0.973573,10.379100,0.859032,-1.723224,-4.235961,3.161545
0.200000,0.079764,0.972758,10.481587,0.512435,-1.732985,-0.048804,3.137627
0.200000,0.045897,0.973024,10.515455,0.169338,-1.715485,0.087499,3.129828
0.200000,0.045897,0.973024,10.515455,0.000000,-0.846689,4.343980,3.129828
