dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.975558,7.704138,0.037500,0.375000,1.875000,9.375000,5.744575
0.200000,7.090538,7.629757,0.174442,0.684708,1.548540,-1.632299,5.670415
0.200000,7.281905,7.467909,0.425073,1.253158,2.842249,6.468546,5.477935
0.200000,7.495982,7.080630,0.867582,2.212543,4.796925,9.773378,4.914223
0.200000,7.394010,6.557197,1.400855,2.666365,2.269112,-12.639063,4.168012
0.200000,7.130969,6.255276,1.801288,2.002166,-3.320998,-27.950550,3.858843
0.200000,6.820384,6.040901,2.178674,1.886930,-0.576180,13.724088,3.612055
0.200000,6.453610,5.914605,2.566583,1.939548,0.263089,4.196345,3.342050
0.200000,6.094784,5.878258,2.927245,1.803310,-0.681190,-4.721392,3.156647
0.200000,5.764622,5.890692,3.257641,1.651979,-0.756651,-0.377306,3.064177
0.200000,5.461464,5.918117,3.562037,1.521978,-0.650005,0.533230,3.050846
0.200000,5.182903,5.936650,3.841214,1.395885,-0.630469,0.097680,3.113806
0.200000,4.933116,5.927135,4.091183,1.249844,-0.730201,-0.498661,3.264698
0.200000,4.720491,5.876011,4.309867,1.093420,-0.782123,-0.259611,3.509441
0.200000,4.542609,5.775930,4.513971,1.020519,-0.364502,2.088105,3.797847
0.200000,4.391981,5.625382,4.726934,1.064819,0.221499,2.930005,4.052620
0.200000,4.293532,5.449014,4.928919,1.009924,-0.274474,-2.479865,4.347368
0.200000,4.238997,5.228854,5.155733,1.134069,0.620725,4.475999,4.567747
0.200000,4.217869,4.965653,5.419781,1.320239,0.930847,1.550605,4.676301
0.200000,4.210520,4.667856,5.717668,1.489435,0.845981,-0.424326,4.682697
0.200000,4.187714,4.337564,6.048747,1.655394,0.829797,-0.080923,4.588136
0.200000,4.107654,3.979024,6.416116,1.836847,0.907267,0.387350,4.381992
0.200000,3.928007,3.627899,6.810529,1.972066,0.676093,-1.155868,4.091635
0.200000,3.687050,3.359500,7.171220,1.803455,-0.843055,-7.595740,3.897635
0.200000,3.414336,3.139191,7.521805,1.752922,-0.252665,2.951952,3.743290
0.200000,3.110391,2.963757,7.872745,1.754703,0.008902,1.307834,3.587850
0.200000,2.788090,2.837184,8.219009,1.731321,-0.116910,-0.629061,3.446783
0.200000,2.460002,2.755153,8.557197,1.690937,-0.201920,-0.425052,3.330484
0.200000,2.134299,2.708386,8.886241,1.645220,-0.228584,-0.133318,3.242147
0.200000,1.828911,2.687278,9.192358,1.530584,-0.573179,-1.722979,3.182657
0.200000,1.582739,2.681434,9.438599,1.231205,-1.496893,-4.618567,3.150258
0.200000,1.417489,2.681259,9.603849,0.826251,-2.024770,-2.639386,3.136041
0.200000,1.330252,2.681978,9.691088,0.436196,-1.950277,0.372465,3.130952
0.200000,1.305853,2.682252,9.715489,0.122005,-1.570956,1.896606,3.129828
0.200000,1.305853,2.682252,9.715489,0.000000,-0.610024,4.804657,3.129828
