dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.806287,7.420859,0.037500,0.375000,1.875000,9.375000,5.744575
0.200000,6.900743,7.359798,0.150000,0.750000,1.875000,0.000000,5.670415
0.200000,7.043974,7.239242,0.337500,1.125000,1.875000,0.000000,5.477935
0.200000,7.172680,7.014476,0.600000,1.500000,1.875000,0.000000,4.914223
0.200000,7.111712,6.728099,0.900000,1.500000,0.000000,-9.375000,4.168012
0.200000,6.914055,6.503970,1.200000,1.500000,0.000000,0.000000,3.858843
0.200000,6.670795,6.335049,1.500000,1.500000,0.000000,0.000000,3.612055
0.200000,6.387901,6.237997,1.800000,1.500000,0.000000,0.000000,3.342050
0.200000,6.089816,6.208220,2.100000,1.500000,0.000000,0.000000,3.156647
0.200000,5.790144,6.219704,2.400000,1.500000,0.000000,0.000000,3.064177
0.200000,5.491370,6.246759,2.700000,1.500000,0.000000,0.000000,3.050846
0.200000,5.192072,6.266523,3.000000,1.500000,0.000000,0.000000,3.113806
0.200000,4.892593,6.254637,3.300000,1.500000,0.000000,0.000000,3.264698
0.200000,4.601821,6.183935,3.600000,1.500000,0.000000,0.000000,3.509441
0.200000,4.341258,6.037383,3.900000,1.500000,0.000000,0.000000,3.797847
0.200000,4.131237,5.827650,4.200000,1.500000,0.000000,0.000000,4.052620
0.200000,3.985273,5.566813,4.500000,1.500000,0.000000,0.000000,4.347368
0.200000,3.912443,5.276419,4.800000,1.500000,0.000000,0.000000,4.567747
0.200000,3.888084,4.977559,5.100000,1.500000,0.000000,0.000000,4.676301
0.200000,3.880665,4.677653,5.400000,1.500000,0.000000,0.000000,4.682697
0.200000,3.860258,4.378462,5.700000,1.500000,0.000000,0.000000,4.588136
0.200000,3.795503,4.086082,6.000000,1.500000,0.000000,0.000000,4.381992
0.200000,3.659571,3.819843,6.300000,1.500000,0.000000,0.000000,4.091635
0.200000,3.460655,3.599594,6.600000,1.500000,0.000000,0.000000,3.897635
0.200000,3.227542,3.411235,6.900000,1.500000,0.000000,0.000000,3.743290
0.200000,2.967966,3.261440,7.200000,1.500000,0.000000,0.000000,3.587850
0.200000,2.688933,3.151935,7.500000,1.500000,0.000000,0.000000,3.446783
0.200000,2.398038,3.079283,7.800000,1.500000,0.000000,0.000000,3.330484
0.200000,2.101172,3.036719,8.100000,1.500000,0.000000,0.000000,3.242147
0.200000,1.815363,3.017000,8.386530,1.365301,-0.673497,-3.367483,3.182657
0.200000,1.579879,3.011422,8.622090,0.990301,-1.875000,-6.007517,3.150258
0.200000,1.419321,3.011254,8.782650,0.615301,-1.875000,0.000000,3.136041
0.200000,1.333764,3.011959,8.868210,0.240301,-1.875000,0.000000,3.130952
0.200000,1.309735,3.012229,8.892241,0.000000,-1.201503,3.367483,3.129828
0.200000,1.309735,3.012229,8.892241,0.000000,0.000000,6.007517,3.129828
