dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.975558,7.704138,0.037500,0.375000,1.875000,9.375000,5.744575
0.200000,7.090538,7.629757,0.174442,0.684708,1.548540,-1.632299,5.670415
0.200000,7.281905,7.467909,0.425073,1.253158,2.842249,6.468546,5.477935
0.200000,7.495982,7.080630,0.867582,2.212543,4.796925,9.773378,4.914223
0.200000,7.394010,6.557197,1.400855,2.666365,2.269112,-12.639063,4.168012
0.200000,7.130969,6.255276,1.801288,2.002166,-3.320998,-27.950550,3.858843
0.200000,6.828614,6.042740,2.170869,1.847905,-0.771302,12.748476,3.639162
0.200000,6.497813,5.902638,2.530115,1.796231,-0.258371,2.564658,3.458125
0.200000,6.180823,5.816245,2.858667,1.642758,-0.767365,-2.544972,3.371286
0.200000,5.889044,5.749900,3.157894,1.496136,-0.733109,0.171282,3.373623
0.200000,5.629150,5.678164,3.427507,1.348062,-0.740369,-0.036302,3.465418
0.200000,5.410327,5.583787,3.665814,1.191538,-0.782623,-0.211266,3.651320
0.200000,5.236578,5.456387,3.881266,1.077259,-0.571397,1.056129,3.905735
0.200000,5.071665,5.265650,4.133411,1.260725,0.917333,7.443651,4.045099
0.200000,4.895921,5.033456,4.424615,1.456020,0.976474,0.295702,4.071725
0.200000,4.703790,4.784393,4.739173,1.572788,0.583838,-1.963180,4.027530
0.200000,4.475846,4.533874,5.077874,1.693508,0.603600,0.098809,3.909653
0.200000,4.194326,4.307045,5.439405,1.807655,0.570735,-0.164322,3.721566
0.200000,3.860728,4.138531,5.813149,1.868720,0.305326,-1.327044,3.495671
0.200000,3.523461,4.045016,6.163141,1.749960,-0.593801,-4.495638,3.340315
0.200000,3.204562,3.994497,6.486016,1.614378,-0.677909,-0.420540,3.270791
0.200000,2.913217,3.956109,6.779879,1.469314,-0.725316,-0.237034,3.289372
0.200000,2.611785,3.913294,7.084337,1.522289,0.264872,4.950939,3.270903
0.200000,2.305129,3.877472,7.393079,1.543708,0.107095,-0.788883,3.244386
0.200000,1.996642,3.850156,7.702772,1.548467,0.023795,-0.416499,3.214978
0.200000,1.706416,3.833147,7.993496,1.453620,-0.474233,-2.490141,3.184892
0.200000,1.473929,3.826041,8.226092,1.162979,-1.453206,-4.894866,3.159168
0.200000,1.318909,3.824697,8.381117,0.775127,-1.939261,-2.430276,3.141247
0.200000,1.241782,3.825075,8.458246,0.385643,-1.947418,-0.040786,3.132109
0.200000,1.222724,3.825278,8.477305,0.095296,-1.451737,2.478406,3.129828
0.200000,1.222724,3.825278,8.477305,0.000000,-0.476478,4.876296,3.129828
