dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.637015,7.137580,0.037500,0.375000,1.875000,9.375000,5.744575
0.200000,6.710948,7.089838,0.125507,0.440036,0.325179,-7.749103,5.670415
0.200000,6.806043,7.010575,0.249304,0.618985,0.894748,2.847844,5.477935
0.200000,6.849379,6.948322,0.325156,0.379259,-1.198633,-10.466907,4.914223
0.200000,6.829413,6.899001,0.378365,0.266045,-0.566067,3.162832,4.168012
0.200000,6.697141,6.752663,0.575623,0.986291,3.601227,20.836468,3.858843
0.200000,6.513602,6.622712,0.800509,1.124429,0.690692,-14.552672,3.639162
0.200000,6.292373,6.529849,1.040438,1.199645,0.376081,-1.573059,3.458125
0.200000,6.030556,6.458911,1.311695,1.356286,0.783201,2.035600,3.371286
0.200000,5.737275,6.392213,1.612465,1.503848,0.737810,-0.226953,3.373623
0.200000,5.419141,6.303861,1.942639,1.650871,0.735115,-0.013477,3.465418
0.200000,5.088288,6.159886,2.303462,1.804113,0.766214,0.155495,3.651320
0.200000,4.779912,5.932891,2.686374,1.914562,0.552246,-1.069839,3.905735
0.200000,4.553233,5.674097,3.030406,1.720157,-0.972025,-7.621356,4.045099
0.200000,4.366799,5.427957,3.339182,1.543881,-0.881380,0.453227,4.071725
0.200000,4.192615,5.201885,3.624574,1.426959,-0.584614,1.483829,4.027530
0.200000,4.017316,5.008586,3.885523,1.304745,-0.611069,-0.132271,3.909653
0.200000,3.832645,4.859120,4.123101,1.187893,-0.584260,0.134045,3.721566
0.200000,3.631889,4.757589,4.348071,1.124848,-0.315225,1.345173,3.495671
0.200000,3.393166,4.692027,4.595634,1.237814,0.564831,4.400280,3.340315
0.200000,3.119528,4.648996,4.872634,1.385002,0.735942,0.855554,3.270791
0.200000,2.816038,4.608915,5.178759,1.530626,0.728120,-0.039110,3.289372
0.200000,2.526678,4.567784,5.471028,1.461343,-0.346416,-5.372680,3.270903
0.200000,2.237404,4.533989,5.762269,1.456204,-0.025695,1.603607,3.244386
0.200000,1.948251,4.508379,6.052554,1.451425,-0.023896,0.008992,3.214978
0.200000,1.677847,4.492528,6.323422,1.354340,-0.485423,-2.307636,3.184892
0.200000,1.462330,4.485939,6.539040,1.078092,-1.381241,-4.479086,3.159168
0.200000,1.319138,4.484697,6.682238,0.715986,-1.810530,-2.146445,3.141247
0.200000,1.248041,4.485046,6.753335,0.355487,-1.802495,0.040175,3.132109
0.200000,1.230488,4.485232,6.770889,0.087771,-1.338583,2.319559,3.129828
0.200000,1.230488,4.485232,6.770889,0.000000,-0.438855,4.498640,3.129828
