dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.975558,7.704138,0.037500,0.375000,1.875000,9.375000,5.744575
0.200000,7.090538,7.629757,0.174442,0.684708,1.548540,-1.632299,5.670415
0.200000,7.281905,7.467909,0.425073,1.253158,2.842249,6.468546,5.477935
0.200000,7.495982,7.080630,0.867582,2.212543,4.796925,9.773378,4.914223
0.200000,7.394010,6.557197,1.400855,2.666365,2.269112,-12.639063,4.168012
0.200000,7.130969,6.255276,1.801288,2.002166,-3.320998,-27.950550,3.858843
0.200000,6.869167,6.053420,2.131873,1.652925,-1.746205,7.873962,3.759349
0.200000,6.599632,5.875550,2.454807,1.614670,-0.191273,7.774664,3.689654
0.200000,6.316564,5.716802,2.779351,1.622718,0.040241,1.157569,3.615050
0.200000,6.020993,5.579657,3.105190,1.629195,0.032380,-0.039305,3.536497
0.200000,5.714619,5.466266,3.431874,1.633421,0.021133,-0.056238,3.455364
0.200000,5.399726,5.378182,3.758855,1.634904,0.007415,-0.068589,3.373325
0.200000,5.078974,5.316157,4.085549,1.633472,-0.007158,-0.072862,3.292161
0.200000,4.779255,5.276056,4.387938,1.511945,-0.607637,-3.002395,3.273515
0.200000,4.482817,5.236241,4.687038,1.495502,-0.082217,2.627099,3.276241
0.200000,4.185533,5.195903,4.987047,1.500042,0.022700,0.524584,3.276215
0.200000,3.887293,5.155861,5.287963,1.504581,0.022695,-0.000023,3.273439
0.200000,3.587988,5.116941,5.589788,1.509124,0.022714,0.000093,3.267908
0.200000,3.287518,5.079979,5.892522,1.513673,0.022747,0.000166,3.259619
0.200000,2.985800,5.045822,6.196168,1.518229,0.022778,0.000157,3.248566
0.200000,2.682773,5.015329,6.500725,1.522785,0.022783,0.000022,3.234750
0.200000,2.378412,4.989366,6.806191,1.527331,0.022727,-0.000279,3.218175
0.200000,2.072733,4.968810,7.112560,1.531845,0.022570,-0.000787,3.198861
0.200000,1.772411,4.954769,7.413210,1.503251,-0.142969,-0.827696,3.177344
0.200000,1.516194,4.948169,7.669513,1.281512,-1.108696,-4.828633,3.157055
0.200000,1.336556,4.946749,7.849156,0.898217,-1.916471,-4.038878,3.141800
0.200000,1.233948,4.947192,7.951765,0.513043,-1.925871,-0.046997,3.132716
0.200000,1.201941,4.947522,7.983774,0.160043,-1.765001,0.804351,3.129828
0.200000,1.201941,4.947522,7.983774,0.000000,-0.800216,4.823925,3.129828
