dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.806287,7.420859,0.037500,0.375000,1.875000,9.375000,5.744575
0.200000,6.900743,7.359798,0.150000,0.750000,1.875000,0.000000,5.670415
0.200000,7.043974,7.239242,0.337500,1.125000,1.875000,0.000000,5.477935
0.200000,7.172680,7.014476,0.600000,1.500000,1.875000,0.000000,4.914223
0.200000,7.111712,6.728099,0.900000,1.500000,0.000000,-9.375000,4.168012
0.200000,6.914055,6.503970,1.200000,1.500000,0.000000,0.000000,3.858843
0.200000,6.678028,6.322430,1.500000,1.500000,0.000000,0.000000,3.759349
0.200000,6.427692,6.157217,1.800000,1.500000,0.000000,0.000000,3.689654
0.200000,6.166095,6.010501,2.100000,1.500000,0.000000,0.000000,3.615050
0.200000,5.894036,5.884258,2.400000,1.500000,0.000000,0.000000,3.536497
0.200000,5.612766,5.780154,2.700000,1.500000,0.000000,0.000000,3.455364
0.200000,5.323937,5.699361,3.000000,1.500000,0.000000,0.000000,3.373325
0.200000,5.029474,5.642423,3.300000,1.500000,0.000000,0.000000,3.292161
0.200000,4.735847,5.603189,3.600000,1.500000,0.000000,0.000000,3.273515
0.200000,4.438517,5.563254,3.900000,1.500000,0.000000,0.000000,3.276241
0.200000,4.141241,5.522917,4.200000,1.500000,0.000000,0.000000,3.276215
0.200000,3.843909,5.482996,4.500000,1.500000,0.000000,0.000000,3.273439
0.200000,3.546415,5.444311,4.800000,1.500000,0.000000,0.000000,3.267908
0.200000,3.248660,5.407683,5.100000,1.500000,0.000000,0.000000,3.259619
0.200000,2.950566,5.373936,5.400000,1.500000,0.000000,0.000000,3.248566
0.200000,2.652076,5.343898,5.700000,1.500000,0.000000,0.000000,3.234750
0.200000,2.353165,5.318399,6.000000,1.500000,0.000000,0.000000,3.218175
0.200000,2.053845,5.298269,6.300000,1.500000,0.000000,0.000000,3.198861
0.200000,1.760616,5.284558,6.593556,1.435556,-0.322218,-1.611092,3.177344
0.200000,1.511092,5.278130,6.843167,1.060556,-1.875000,-7.763908,3.157055
0.200000,1.336488,5.276749,7.017778,0.685556,-1.875000,0.000000,3.141800
0.200000,1.236878,5.277179,7.117389,0.310556,-1.875000,0.000000,3.132716
0.200000,1.205824,5.277499,7.148445,0.000000,-1.552782,1.611092,3.129828
0.200000,1.205824,5.277499,7.148445,0.000000,0.000000,7.763908,3.129828
