dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.637015,7.137580,0.037500,0.375000,1.875000,9.375000,5.744575
0.200000,6.710948,7.089838,0.125507,0.440036,0.325179,-7.749103,5.670415
0.200000,6.806043,7.010575,0.249304,0.618985,0.894748,2.847844,5.477935
0.200000,6.849379,6.948322,0.325156,0.379259,-1.198633,-10.466907,4.914223
0.200000,6.829413,6.899001,0.378365,0.266045,-0.566067,3.162832,4.168012
0.200000,6.697141,6.752663,0.575623,0.986291,3.601227,20.836468,3.858843
0.200000,6.486890,6.591439,0.840574,1.324751,1.692303,-9.544620,3.759349
0.200000,6.255751,6.438884,1.117518,1.384722,0.299855,-6.962239,3.689654
0.200000,6.015626,6.304200,1.392835,1.376585,-0.040685,-1.702701,3.615050
0.200000,5.767079,6.188859,1.666842,1.370034,-0.032759,0.039630,3.536497
0.200000,5.510912,6.094042,1.939993,1.365755,-0.021390,0.056844,3.455364
0.200000,5.248148,6.020540,2.212844,1.364254,-0.007508,0.069413,3.373325
0.200000,4.979974,5.968690,2.485984,1.365703,0.007248,0.073776,3.292161
0.200000,4.692439,5.930322,2.776067,1.450415,0.423557,2.081548,3.273515
0.200000,4.394218,5.890267,3.076967,1.504497,0.270412,-0.765726,3.276241
0.200000,4.096950,5.849931,3.376959,1.499958,-0.022695,-1.465537,3.276215
0.200000,3.800526,5.810132,3.676042,1.495418,-0.022700,-0.000025,3.273439
0.200000,3.504841,5.771682,3.974217,1.490873,-0.022728,-0.000140,3.267908
0.200000,3.209802,5.735387,4.271480,1.486318,-0.022771,-0.000214,3.259619
0.200000,2.915332,5.702049,4.567832,1.481756,-0.022812,-0.000205,3.248566
0.200000,2.621378,5.672467,4.863270,1.477191,-0.022826,-0.000070,3.234750
0.200000,2.327917,5.647432,5.157797,1.472635,-0.022780,0.000232,3.218175
0.200000,2.034957,5.627728,5.451418,1.468109,-0.022631,0.000741,3.198861
0.200000,1.748820,5.614347,5.737868,1.432249,-0.179299,-0.783338,3.177344
0.200000,1.505989,5.608090,5.980780,1.214558,-1.088453,-4.545772,3.157055
0.200000,1.336419,5.606749,6.150355,0.847878,-1.833400,-3.724731,3.141800
0.200000,1.239807,5.607166,6.246969,0.483066,-1.824061,0.046694,3.132716
0.200000,1.209706,5.607476,6.277071,0.150513,-1.662764,0.806485,3.129828
0.200000,1.209706,5.607476,6.277071,0.000000,-0.752566,4.550990,3.129828
