dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.970572,7.707274,0.037500,0.375000,1.875000,9.375000,5.755327
0.200000,7.076435,7.643195,0.161247,0.618733,1.218666,-3.281669,5.721227
0.200000,7.253201,7.522368,0.375362,1.070577,2.259217,5.202755,5.640401
0.200000,7.501460,7.294088,0.712622,1.686301,3.078623,4.097028,5.411639
0.200000,7.681244,6.773047,1.263809,2.755932,5.348152,11.347648,4.602142
0.200000,7.427799,6.316293,1.786168,2.611795,-0.720682,-30.344173,3.893483
0.200000,7.143845,6.101037,2.142489,1.781608,-4.150936,-17.151268,3.721476
0.200000,6.888927,5.938888,2.444607,1.510588,-1.355098,13.979189,3.715049
0.200000,6.598427,5.748141,2.792134,1.737636,1.135237,12.451676,3.566887
0.200000,6.022806,5.799145,3.370010,2.889379,5.758715,23.117387,2.653915
0.200000,5.845371,5.859765,3.557514,0.937521,-9.759287,-77.590006,2.977388
0.200000,5.545948,5.911100,3.861306,1.518959,2.907190,63.332381,2.965892
0.200000,5.246566,5.966274,4.165730,1.522122,0.015812,-14.456886,2.952478
0.200000,4.947383,6.025872,4.470792,1.525306,0.015920,0.000536,2.937132
0.200000,4.648587,6.090479,4.776492,1.528503,0.015987,0.000339,2.919846
0.200000,4.350398,6.160676,5.082833,1.531702,0.015993,0.000029,2.900618
0.200000,4.053071,6.237039,5.389809,1.534884,0.015910,-0.000414,2.879459
0.200000,3.756900,6.320128,5.697415,1.538026,0.015711,-0.000995,2.856392
0.200000,3.462221,6.410482,6.005635,1.541100,0.015367,-0.001723,2.831459
0.200000,3.169412,6.508608,6.314448,1.544069,0.014849,-0.002591,2.804723
0.200000,2.878892,6.614973,6.623828,1.546896,0.014131,-0.003588,2.776269
0.200000,2.591118,6.729990,6.933734,1.549535,0.013196,-0.004675,2.746213
0.200000,2.318599,6.845568,7.229749,1.480074,-0.347303,-1.802497,2.750129
0.200000,2.049889,6.951259,7.518498,1.443742,-0.181661,0.828212,2.784183
0.200000,1.778661,7.046878,7.806088,1.437949,-0.028964,0.763486,2.821738
0.200000,1.504984,7.131428,8.092527,1.432200,-0.028748,0.001081,2.862768
0.200000,1.229021,7.203930,8.377856,1.426641,-0.027794,0.004769,2.907157
0.200000,0.951031,7.263453,8.662147,1.421455,-0.025931,0.009314,2.954679
0.200000,0.671371,7.309155,8.945516,1.416847,-0.023039,0.014457,3.004984
0.200000,0.414224,7.338262,9.204305,1.293946,-0.614506,-2.957332,3.053081
0.200000,0.215431,7.352103,9.403580,0.996374,-1.487858,-4.366762,3.091217
0.200000,0.086903,7.356976,9.532200,0.643098,-1.766379,-1.392604,3.116214
0.200000,0.028795,7.358121,9.590319,0.290597,-1.762508,0.019358,3.127585
0.200000,0.017351,7.358268,9.601764,0.057228,-1.166845,2.978313,3.129828
0.200000,0.017351,7.358268,9.601764,0.000000,-0.286138,4.403535,3.129828
